pc_timestamp,stm32_ms,adc_raw,adc_voltage_v,sensor_voltage_v,pressure_bar,duty_percent,frequency_hz,estimated_output_rms_v,jsy_online,jsy_voltage_rms_v,jsy_current_rms_a,jsy_active_power_w,jsy_power_factor,jsy_energy_kwh,jsy_error_count,valve_open_count,valve_state_label,valve_phase
2026-05-27T19:58:29.033,153480,426,0.351,0.523,0.069,50.0,5000,110.0,1,0.0,0.0,0,0.0,0.0,7,-,Belum ditandai,unset
2026-05-27T19:58:29.625,154091,439,0.351,0.523,0.069,50.0,5000,110.0,1,0.0,0.0,0,0.0,0.0,7,-,Belum ditandai,unset
2026-05-27T19:58:30.217,154697,439,0.352,0.524,0.071,50.0,5000,110.0,1,0.0,0.0,0,0.0,0.0,7,-,Belum ditandai,unset
2026-05-27T19:58:30.749,155206,434,0.351,0.523,0.069,50.0,5000,110.0,1,0.0,0.0,0,0.0,0.0,7,5,5 keran stabil,stable
2026-05-27T19:58:31.262,155711,438,0.353,0.525,0.076,50.0,5000,110.0,1,0.0,0.0,0,0.0,0.0,7,5,5 keran stabil,stable
2026-05-27T19:58:31.859,156322,443,0.353,0.525,0.076,50.0,5000,110.0,1,0.0,0.0,0,0.0,0.0,7,5,5 keran stabil,stable
2026-05-27T19:58:32.457,156928,438,0.351,0.523,0.068,50.0,5000,110.0,1,0.0,0.0,0,0.0,0.0,7,5,5 keran stabil,stable
2026-05-27T19:58:32.967,157437,436,0.354,0.527,0.081,50.0,5000,110.0,1,0.0,0.0,0,0.0,0.0,7,5,5 keran stabil,stable
2026-05-27T19:58:33.590,158048,437,0.352,0.524,0.072,50.0,5000,110.0,1,0.0,0.0,0,0.0,0.0,7,5,5 keran stabil,stable
2026-05-27T19:58:34.178,158654,437,0.353,0.526,0.077,50.0,5000,110.0,1,0.0,0.0,0,0.0,0.0,7,5,5 keran stabil,stable
2026-05-27T19:58:34.684,159164,442,0.352,0.524,0.072,50.0,5000,110.0,1,0.0,0.0,0,0.0,0.0,7,5,5 keran stabil,stable
2026-05-27T19:58:35.308,159770,442,0.351,0.523,0.069,50.0,5000,110.0,1,0.0,0.0,0,0.0,0.0,7,5,5 keran stabil,stable
2026-05-27T19:58:35.806,160279,432,0.353,0.525,0.076,50.0,5000,110.0,1,0.0,0.0,0,0.0,0.0,7,5,5 keran stabil,stable
2026-05-27T19:58:36.295,160784,439,0.351,0.523,0.07,50.0,5000,110.0,1,0.0,0.0,0,0.0,0.0,7,5,5 keran stabil,stable
2026-05-27T19:58:36.913,161395,431,0.352,0.524,0.072,50.0,5000,110.0,1,0.0,0.0,0,0.0,0.0,7,5,5 keran stabil,stable
2026-05-27T19:58:37.411,161900,433,0.351,0.523,0.07,50.0,5000,110.0,1,0.0,0.0,0,0.0,0.0,7,5,5 keran stabil,stable
2026-05-27T19:58:37.912,162409,439,0.352,0.525,0.074,50.0,5000,110.0,1,0.0,0.0,0,0.0,0.0,7,5,5 keran stabil,stable
2026-05-27T19:58:38.412,162914,452,0.354,0.527,0.082,50.0,5000,110.0,1,0.0,0.0,0,0.0,0.0,7,5,5 keran stabil,stable
2026-05-27T19:58:38.912,163424,433,0.352,0.524,0.073,50.0,5000,110.0,1,0.0,0.0,0,0.0,0.0,7,5,5 keran stabil,stable
2026-05-27T19:58:39.471,163929,423,0.35,0.521,0.062,50.0,5000,110.0,1,0.0,0.0,0,0.0,0.0,7,5,5 keran stabil,stable
2026-05-27T19:58:39.970,164439,440,0.352,0.524,0.073,50.0,5000,110.0,1,0.0,0.0,0,0.0,0.0,7,5,5 keran stabil,stable
2026-05-27T19:58:40.471,164944,432,0.351,0.523,0.069,50.0,5000,110.0,1,0.0,0.0,0,0.0,0.0,7,5,5 keran stabil,stable
2026-05-27T19:58:40.971,165453,429,0.35,0.522,0.066,50.0,5000,110.0,1,0.0,0.0,0,0.0,0.0,7,5,5 keran stabil,stable
2026-05-27T19:58:41.469,165958,438,0.352,0.525,0.074,50.0,5000,110.0,1,0.0,0.0,0,0.0,0.0,7,5,5 keran stabil,stable
2026-05-27T19:58:41.968,166468,435,0.351,0.523,0.07,50.0,5000,110.0,1,0.0,0.0,0,0.0,0.0,7,5,5 keran stabil,stable
2026-05-27T19:58:42.467,166973,435,0.353,0.526,0.077,50.0,5000,110.0,1,0.0,0.0,0,0.0,0.0,7,5,5 keran stabil,stable
2026-05-27T19:58:42.965,167482,427,0.352,0.525,0.074,50.0,5000,110.0,1,0.0,0.0,0,0.0,0.0,7,5,5 keran stabil,stable
2026-05-27T19:58:43.589,168088,435,0.352,0.524,0.072,50.0,5000,110.0,1,0.0,0.0,0,0.0,0.0,7,5,5 keran stabil,stable
2026-05-27T19:58:44.092,168598,435,0.35,0.521,0.062,50.0,5000,110.0,1,0.0,0.0,0,0.0,0.0,7,5,5 keran stabil,stable
2026-05-27T19:58:44.593,169103,430,0.348,0.519,0.056,50.0,5000,110.0,1,0.0,0.0,0,0.0,0.0,7,5,5 keran stabil,stable
2026-05-27T19:58:45.094,169612,432,0.347,0.517,0.051,50.0,5000,110.0,1,0.0,0.0,0,0.0,0.0,7,5,5 keran stabil,stable
2026-05-27T19:58:45.595,170117,439,0.351,0.523,0.068,50.0,5000,110.0,1,0.0,0.0,0,0.0,0.0,7,5,5 keran stabil,stable
2026-05-27T19:58:46.095,170627,433,0.352,0.525,0.075,50.0,5000,110.0,1,0.0,0.0,0,0.0,0.0,7,5,5 keran stabil,stable
2026-05-27T19:58:46.592,171132,438,0.353,0.526,0.079,50.0,5000,110.0,1,0.0,0.0,0,0.0,0.0,7,5,5 keran stabil,stable
2026-05-27T19:58:47.156,171641,442,0.354,0.528,0.083,50.0,5000,110.0,1,0.0,0.0,0,0.0,0.0,7,5,5 keran stabil,stable
2026-05-27T19:58:47.722,172252,444,0.354,0.528,0.083,50.0,5000,110.0,1,0.0,0.0,0,0.0,0.0,7,5,5 keran stabil,stable
2026-05-27T19:58:48.222,172757,441,0.355,0.528,0.085,50.0,5000,110.0,1,0.0,0.0,0,0.0,0.0,7,5,5 keran stabil,stable
2026-05-27T19:58:48.723,173267,447,0.357,0.531,0.094,50.0,5000,110.0,1,0.0,0.0,0,0.0,0.0,7,5,5 keran stabil,stable
2026-05-27T19:58:49.225,173772,442,0.355,0.529,0.087,50.0,5000,110.0,1,0.0,0.0,0,0.0,0.0,7,5,5 keran stabil,stable
2026-05-27T19:58:49.786,174281,446,0.355,0.529,0.086,50.0,5000,110.0,1,0.0,0.0,0,0.0,0.0,7,5,5 keran stabil,stable
2026-05-27T19:58:50.285,174786,438,0.354,0.527,0.08,50.0,5000,110.0,1,0.0,0.0,0,0.0,0.0,7,5,5 keran stabil,stable
2026-05-27T19:58:50.780,175296,438,0.355,0.529,0.086,50.0,5000,110.0,1,0.0,0.0,0,0.0,0.0,7,5,5 keran stabil,stable
2026-05-27T19:58:51.279,175801,441,0.354,0.528,0.083,50.0,5000,110.0,1,0.0,0.0,0,0.0,0.0,7,5,5 keran stabil,stable
2026-05-27T19:58:51.778,176310,437,0.355,0.529,0.086,50.0,5000,110.0,1,0.0,0.0,0,0.0,0.0,7,5,5 keran stabil,stable
2026-05-27T19:58:52.282,176815,439,0.355,0.528,0.085,50.0,5000,110.0,1,0.0,0.0,0,0.0,0.0,7,5,5 keran stabil,stable
2026-05-27T19:58:52.786,177325,439,0.353,0.526,0.079,50.0,5000,110.0,1,0.0,0.0,0,0.0,0.0,7,5,5 keran stabil,stable
2026-05-27T19:58:53.288,177830,445,0.355,0.528,0.085,50.0,5000,110.0,1,0.0,0.0,0,0.0,0.0,7,5,5 keran stabil,stable
2026-05-27T19:58:53.790,178339,437,0.355,0.529,0.086,50.0,5000,110.0,1,0.0,0.0,0,0.0,0.0,7,5,5 keran stabil,stable
2026-05-27T19:58:54.291,178844,438,0.354,0.527,0.081,50.0,5000,110.0,1,0.0,0.0,0,0.0,0.0,7,5,5 keran stabil,stable
2026-05-27T19:58:54.788,179354,439,0.353,0.527,0.08,50.0,5000,110.0,1,0.0,0.0,0,0.0,0.0,7,5,5 keran stabil,stable
2026-05-27T19:58:55.288,179859,446,0.355,0.529,0.086,50.0,5000,110.0,1,0.0,0.0,0,0.0,0.0,7,5,5 keran stabil,stable
2026-05-27T19:58:55.847,180368,445,0.356,0.53,0.09,50.0,5000,110.0,1,0.0,0.0,0,0.0,0.0,7,5,5 keran stabil,stable
2026-05-27T19:58:56.345,180873,437,0.355,0.529,0.086,50.0,5000,110.0,1,0.0,0.0,0,0.0,0.0,7,5,5 keran stabil,stable
2026-05-27T19:58:56.846,181383,440,0.354,0.527,0.081,50.0,5000,110.0,1,0.0,0.0,0,0.0,0.0,7,5,5 keran stabil,stable
2026-05-27T19:58:57.347,181888,445,0.356,0.53,0.09,50.0,5000,110.0,1,0.0,0.0,0,0.0,0.0,7,5,5 keran stabil,stable
2026-05-27T19:58:57.849,182397,435,0.354,0.527,0.082,50.0,5000,110.0,1,0.0,0.0,0,0.0,0.0,7,5,5 keran stabil,stable
2026-05-27T19:58:58.349,182902,428,0.353,0.526,0.078,50.0,5000,110.0,1,0.0,0.0,0,0.0,0.0,7,5,5 keran stabil,stable
2026-05-27T19:58:58.849,183417,439,0.355,0.528,0.084,50.0,5000,110.0,1,0.0,0.0,0,0.0,0.0,7,5,5 keran stabil,stable
2026-05-27T19:58:59.349,183922,439,0.353,0.526,0.078,50.0,5000,110.0,1,0.0,0.0,0,0.0,0.0,7,5,5 keran stabil,stable
2026-05-27T19:58:59.847,184381,437,0.355,0.528,0.085,50.0,5000,110.0,1,0.0,0.0,0,0.0,0.0,7,5,5 keran stabil,stable
2026-05-27T19:59:00.346,184886,432,0.353,0.526,0.077,50.0,5000,110.0,1,0.0,0.0,0,0.0,0.0,7,5,5 keran stabil,stable
2026-05-27T19:59:00.846,185397,439,0.354,0.527,0.082,50.0,5000,110.0,1,0.0,0.0,0,0.0,0.0,7,5,5 keran stabil,stable
2026-05-27T19:59:01.346,185902,441,0.355,0.529,0.086,50.0,5000,110.0,1,0.0,0.0,0,0.0,0.0,7,5,5 keran stabil,stable
2026-05-27T19:59:01.845,186414,434,0.354,0.527,0.08,50.0,5000,110.0,1,0.0,0.0,0,0.0,0.0,7,5,5 keran stabil,stable
