pc_timestamp,stm32_ms,adc_raw,adc_voltage_v,sensor_voltage_v,pressure_bar,duty_percent,frequency_hz,estimated_output_rms_v,jsy_online,jsy_voltage_rms_v,jsy_current_rms_a,jsy_active_power_w,jsy_power_factor,jsy_energy_kwh,jsy_error_count,valve_open_count,valve_state_label,valve_phase
2026-05-31T22:24:46.633,244596,156,0.12546666666666667,0.18646666666666667,0.0,70.0,5000,154.0,1,12.06,0.025,0,0.0,0.0,45,-,Belum ditandai,unset
2026-05-31T22:24:47.166,245152,159,0.126,0.18726666666666666,0.0,70.0,5000,154.0,1,12.06,0.025,0,0.0,0.0,45,-,Belum ditandai,unset
2026-05-31T22:24:47.709,245672,155,0.12606666666666666,0.18746666666666664,0.0,70.0,5000,154.0,1,12.06,0.025,0,0.0,0.0,45,-,Belum ditandai,unset
2026-05-31T22:24:48.206,246190,154,0.1262,0.18760000000000002,0.0,70.0,5000,154.0,1,12.06,0.025,0,0.0,0.0,45,-,Belum ditandai,unset
2026-05-31T22:24:48.886,246606,157,0.1258,0.18706666666666666,0.0,70.0,5000,154.0,1,12.06,0.025,0,0.0,0.0,45,-,Belum ditandai,unset
2026-05-31T22:24:49.410,247371,156,0.12613333333333332,0.18766666666666668,0.0,70.0,5000,154.0,1,12.05,0.025,0,0.0,0.0,45,-,Belum ditandai,unset
2026-05-31T22:24:49.911,247888,156,0.1262,0.18773333333333334,0.0,70.0,5000,154.0,1,12.05,0.025,0,0.0,0.0,45,-,Belum ditandai,unset
2026-05-31T22:24:50.410,248408,156,0.12613333333333332,0.18766666666666668,0.0,70.0,5000,154.0,1,12.05,0.025,0,0.0,0.0,45,-,Belum ditandai,unset
2026-05-31T22:24:50.910,248871,158,0.12586666666666665,0.18726666666666666,0.0,70.0,5000,154.0,1,12.05,0.025,0,0.0,0.0,45,-,Belum ditandai,unset
2026-05-31T22:24:51.408,249391,158,0.12633333333333333,0.188,0.0,70.0,5000,154.0,1,12.05,0.025,0,0.0,0.0,45,-,Belum ditandai,unset
2026-05-31T22:24:51.909,249909,155,0.12626666666666667,0.18780000000000002,0.0,70.0,5000,154.0,1,12.06,0.025,0,0.0,0.0,45,-,Belum ditandai,unset
2026-05-31T22:24:52.405,250429,155,0.12639999999999998,0.18780000000000002,0.0,70.0,5000,154.0,1,12.06,0.025,0,0.0,0.0,45,-,Belum ditandai,unset
2026-05-31T22:24:52.904,250881,155,0.12573333333333334,0.1869333333333333,0.0,70.0,5000,154.0,1,12.06,0.025,0,0.0,0.0,45,-,Belum ditandai,unset
2026-05-31T22:24:53.405,251401,156,0.1258,0.18686666666666665,0.0,70.0,5000,154.0,1,12.06,0.025,0,0.0,0.0,45,-,Belum ditandai,unset
2026-05-31T22:24:53.906,251919,158,0.12573333333333334,0.18706666666666666,0.0,70.0,5000,154.0,1,12.05,0.025,0,0.0,0.0,45,-,Belum ditandai,unset
2026-05-31T22:24:54.467,252439,157,0.1266,0.18826666666666667,0.0,70.0,5000,154.0,1,12.05,0.025,0,0.0,0.0,45,-,Belum ditandai,unset
2026-05-31T22:24:54.969,252996,155,0.12653333333333333,0.18846666666666667,0.0,70.0,5000,154.0,1,12.06,0.025,0,0.0,0.0,45,-,Belum ditandai,unset
2026-05-31T22:24:55.535,253516,156,0.1268,0.18860000000000002,0.0,70.0,5000,154.0,1,12.06,0.025,0,0.0,0.0,45,-,Belum ditandai,unset
2026-05-31T22:24:56.034,254033,156,0.12626666666666667,0.18780000000000002,0.0,70.0,5000,154.0,1,12.06,0.025,0,0.0,0.0,45,-,Belum ditandai,unset
2026-05-31T22:24:56.533,254553,157,0.12646666666666667,0.18760000000000002,0.0,70.0,5000,154.0,1,12.06,0.025,0,0.0,0.0,45,-,Belum ditandai,unset
2026-05-31T22:24:57.095,255120,154,0.12646666666666667,0.18773333333333334,0.0,70.0,5000,154.0,1,12.05,0.025,0,0.0,0.0,45,-,Belum ditandai,unset
2026-05-31T22:24:57.656,255640,158,0.1270666666666667,0.18886666666666668,0.0,70.0,5000,154.0,1,12.05,0.025,0,0.0,0.0,45,-,Belum ditandai,unset
2026-05-31T22:24:58.154,256157,157,0.127,0.1892,0.0,70.0,5000,154.0,1,12.06,0.025,0,0.0,0.0,45,-,Belum ditandai,unset
2026-05-31T22:24:58.657,256677,159,0.1268,0.18886666666666668,0.0,70.0,5000,154.0,1,12.06,0.025,0,0.0,0.0,45,-,Belum ditandai,unset
2026-05-31T22:24:59.218,257244,155,0.12666666666666665,0.18860000000000002,0.0,70.0,5000,154.0,1,12.06,0.025,0,0.0,0.0,45,-,Belum ditandai,unset
2026-05-31T22:24:59.715,257764,154,0.12646666666666667,0.188,0.0,70.0,5000,154.0,1,12.06,0.025,0,0.0,0.0,45,-,Belum ditandai,unset
2026-05-31T22:25:00.276,258282,156,0.1262,0.18760000000000002,0.0,70.0,5000,154.0,1,12.06,0.025,0,0.0,0.0,45,-,Belum ditandai,unset
2026-05-31T22:25:00.838,258838,161,0.12646666666666667,0.18773333333333334,0.0,70.0,5000,154.0,1,12.06,0.025,0,0.0,0.0,45,-,Belum ditandai,unset
2026-05-31T22:25:01.338,259358,156,0.12646666666666667,0.188,0.0,70.0,5000,154.0,1,12.06,0.025,0,0.0,0.0,45,-,Belum ditandai,unset
2026-05-31T22:25:01.834,259876,159,0.12713333333333335,0.18906666666666666,0.0,70.0,5000,154.0,1,12.06,0.025,0,0.0,0.0,45,-,Belum ditandai,unset
2026-05-31T22:25:02.336,260396,156,0.1268,0.18873333333333334,0.0,70.0,5000,154.0,1,12.06,0.025,0,0.0,0.0,45,-,Belum ditandai,unset
