pc_timestamp,elapsed_s,setpoint,pressure,error,delta_pressure,prev_duty,voltage_rms,duty_next_percent,duty_percent,estimated_output_rms_v,jsy_voltage_rms_v,valve_open_count,valve_state_label,valve_phase,safety_rule_applied,operation_region,ignored_features_note
2026-06-05 22:15:20.285,137.561,0.85,0.0853333333333333,0.7646666666666667,0.0,80.0,151.09,95.0,80.0,176.0,151.09,4,4 keran stabil,stable,False,training_ge80_to_95,valve_open_count dan current tidak dipakai sebagai input model STM32
2026-06-05 22:15:20.876,138.152,0.85,0.1343333333333333,0.7156666666666667,0.049,80.0,167.75,95.0,80.0,176.0,167.75,4,4 keran stabil,stable,False,training_ge80_to_95,valve_open_count dan current tidak dipakai sebagai input model STM32
2026-06-05 22:15:21.374,138.65,0.85,0.1796,0.6704,0.045266666666666705,80.0,167.75,95.0,80.0,176.0,167.75,4,4 keran stabil,stable,False,training_ge80_to_95,valve_open_count dan current tidak dipakai sebagai input model STM32
2026-06-05 22:15:21.873,139.149,0.85,0.2092,0.6408,0.029599999999999987,80.0,171.14,95.0,80.0,176.0,171.14,4,4 keran stabil,stable,False,training_ge80_to_95,valve_open_count dan current tidak dipakai sebagai input model STM32
2026-06-05 22:15:22.433,139.709,0.85,0.204,0.646,-0.00520000000000001,80.0,171.14,95.0,80.0,176.0,171.14,4,4 keran stabil,stable,False,training_ge80_to_95,valve_open_count dan current tidak dipakai sebagai input model STM32
2026-06-05 22:15:22.994,140.27,0.85,0.1983333333333333,0.6516666666666666,-0.005666666666666681,80.0,171.09,95.0,80.0,176.0,171.09,4,4 keran stabil,stable,False,training_ge80_to_95,valve_open_count dan current tidak dipakai sebagai input model STM32
2026-06-05 22:15:23.493,140.769,0.85,0.1885333333333333,0.6614666666666666,-0.009800000000000003,80.0,171.09,95.0,80.0,176.0,171.09,4,4 keran stabil,stable,False,training_ge80_to_95,valve_open_count dan current tidak dipakai sebagai input model STM32
2026-06-05 22:15:23.991,141.267,0.85,0.1886666666666666,0.6613333333333333,0.0001333333333332909,80.0,171.28,95.0,80.0,176.0,171.28,4,4 keran stabil,stable,False,training_ge80_to_95,valve_open_count dan current tidak dipakai sebagai input model STM32
2026-06-05 22:15:24.492,141.768,0.85,0.1924666666666666,0.6575333333333334,0.003799999999999998,80.0,171.28,95.0,80.0,176.0,171.28,4,4 keran stabil,stable,False,training_ge80_to_95,valve_open_count dan current tidak dipakai sebagai input model STM32
2026-06-05 22:15:25.032,142.308,0.85,0.196,0.6539999999999999,0.003533333333333416,80.0,171.25,95.0,80.0,176.0,171.25,4,4 keran stabil,stable,False,training_ge80_to_95,valve_open_count dan current tidak dipakai sebagai input model STM32
