pc_timestamp,stm32_ms,adc_raw,adc_voltage_v,sensor_voltage_v,pressure_bar,duty_percent,frequency_hz,estimated_output_rms_v,jsy_online,jsy_voltage_rms_v,jsy_current_rms_a,jsy_active_power_w,jsy_power_factor,jsy_energy_kwh,jsy_error_count,nn_mode,nn_duty_percent,valve_open_count,valve_state_label,valve_phase,setpoint_bar,episode_id,is_decision,event
2026-06-24T23:16:44.297,2644703,418,0.3336,0.4877333333333333,0.009,60.0,5000,132.0,1,133.09,0.778,100,0.965,0.05,1248,0,0.0,-,Belum ditandai,unset,0.3,1,0,
2026-06-24T23:16:44.815,2645229,415,0.3342,0.4882666666666667,0.009,60.0,5000,132.0,1,133.09,0.778,100,0.965,0.05,1248,0,0.0,-,Belum ditandai,unset,0.3,1,0,
2026-06-24T23:16:45.347,2645751,419,0.3346666666666667,0.4878,0.009,60.0,5000,132.0,1,133.09,0.777,100,0.967,0.05,1248,0,0.0,-,Belum ditandai,unset,0.3,1,0,
2026-06-24T23:16:45.848,2646276,413,0.33366666666666667,0.4878666666666666,0.009,60.0,5000,132.0,1,133.09,0.777,100,0.967,0.05,1248,0,0.0,-,Belum ditandai,unset,0.3,1,0,
2026-06-24T23:16:46.408,2646829,411,0.333,0.48800000000000004,0.009,60.0,5000,132.0,1,133.07,0.776,100,0.968,0.05,1248,0,0.0,-,Belum ditandai,unset,0.3,1,0,
2026-06-24T23:16:46.907,2647354,411,0.33193333333333336,0.4878,0.009,60.0,5000,132.0,1,133.07,0.776,100,0.968,0.05,1248,0,0.0,-,Belum ditandai,unset,0.3,1,0,
2026-06-24T23:16:47.454,2647876,414,0.33266666666666667,0.4876,0.009,60.0,5000,132.0,1,133.07,0.776,100,0.968,0.05,1248,0,0.0,-,Belum ditandai,unset,0.3,1,0,
2026-06-24T23:16:47.953,2648401,419,0.3333333333333333,0.4871333333333333,0.009,60.0,5000,132.0,1,133.07,0.776,100,0.968,0.05,1248,0,0.0,-,Belum ditandai,unset,0.3,1,0,
2026-06-24T23:16:48.453,2648859,414,0.33393333333333336,0.4874666666666666,0.009,60.0,5000,132.0,1,133.02,0.775,100,0.97,0.05,1248,0,0.0,-,Belum ditandai,unset,0.3,1,0,
2026-06-24T23:16:49.051,2649489,411,0.3328666666666667,0.4874,0.009,60.0,5000,132.0,1,133.02,0.775,100,0.97,0.05,1248,0,0.0,-,Belum ditandai,unset,0.3,1,0,
2026-06-24T23:16:49.630,2650074,417,0.33313333333333334,0.4878,0.009,60.0,5000,132.0,1,133.09,0.776,100,0.968,0.05,1248,0,0.0,-,Belum ditandai,unset,0.3,1,0,
2026-06-24T23:16:50.174,2650599,414,0.3330666666666667,0.48813333333333336,0.009,60.0,5000,132.0,1,133.09,0.776,100,0.968,0.05,1248,0,0.0,-,Belum ditandai,unset,0.3,1,0,
2026-06-24T23:16:50.743,2651184,415,0.334,0.48819999999999997,0.009,60.0,5000,132.0,1,133.03,0.774,100,0.971,0.05,1248,0,0.0,-,Belum ditandai,unset,0.3,1,0,
2026-06-24T23:16:51.330,2651768,412,0.3332666666666667,0.4874666666666666,0.009,60.0,5000,132.0,1,133.05,0.774,99,0.961,0.05,1248,0,0.0,-,Belum ditandai,unset,0.3,1,0,
2026-06-24T23:16:51.872,2652294,410,0.33313333333333334,0.48679999999999995,0.009,65.0,5000,143.0,1,133.05,0.774,99,0.961,0.05,1248,0,0.0,-,Belum ditandai,unset,0.3,1,0,
2026-06-24T23:16:52.440,2652879,412,0.3332,0.48679999999999995,0.009,65.0,5000,143.0,1,142.33,0.831,115,0.972,0.05,1248,0,0.0,-,Belum ditandai,unset,0.3,1,0,
2026-06-24T23:16:52.982,2653404,427,0.33353333333333335,0.4877333333333333,0.009,65.0,5000,143.0,1,142.33,0.831,115,0.972,0.05,1248,0,0.0,-,Belum ditandai,unset,0.3,1,0,
