pc_timestamp,stm32_ms,adc_raw,adc_voltage_v,sensor_voltage_v,pressure_bar,duty_percent,frequency_hz,estimated_output_rms_v,jsy_online,jsy_voltage_rms_v,jsy_current_rms_a,jsy_voltage_raw_v,jsy_current_raw_a,jsy_active_power_w,jsy_power_factor,jsy_energy_kwh,jsy_error_count,nn_mode,nn_duty_percent,valve_open_count,valve_state_label,valve_phase,setpoint_bar,episode_id,is_decision,t_rel,error
2026-07-02T01:39:46.251,2722257,498,0.4012666666666666,0.5885999999999999,0.2657333333333333,88.25,5000,194.14,1,190.93,0.665,192.9,0.741,142,0.993,0.07,2113,1,88.25,4,4 keran stabil,stable,0.3,1,0,0.0,0.03426666666666667
2026-07-02T01:39:46.785,2722792,461,0.3994666666666667,0.5879333333333333,0.2630666666666666,89.25,5000,196.35,1,190.93,0.665,192.9,0.741,142,0.993,0.07,2113,1,89.25,4,4 keran stabil,stable,0.3,1,0,0.534,0.036933333333333374
2026-07-02T01:39:47.346,2723369,499,0.3992666666666667,0.5882666666666666,0.2646,89.25,5000,196.35,1,190.96,0.665,192.93,0.741,142,0.993,0.07,2113,1,89.25,4,4 keran stabil,stable,0.3,1,0,1.095,0.03539999999999999
2026-07-02T01:39:47.909,2723945,504,0.4000666666666667,0.5888666666666666,0.2664,89.25,5000,196.35,1,193.34,0.667,195.19,0.743,144,0.992,0.07,2113,1,89.25,4,4 keran stabil,stable,0.3,1,0,1.658,0.03359999999999996
2026-07-02T01:39:48.472,2724481,501,0.4029999999999999,0.5901333333333334,0.2706666666666667,89.25,5000,196.35,1,193.34,0.667,195.19,0.743,144,0.992,0.07,2113,1,89.25,4,4 keran stabil,stable,0.3,1,0,2.221,0.029333333333333267
2026-07-02T01:39:49.049,2725057,505,0.4038,0.5903333333333334,0.271,89.25,5000,196.35,1,193.37,0.667,195.22,0.743,144,0.992,0.07,2113,1,89.25,4,4 keran stabil,stable,0.3,1,0,2.798,0.02899999999999997
2026-07-02T01:39:49.546,2725592,497,0.4029333333333333,0.5902,0.2706666666666667,89.25,5000,196.35,1,193.37,0.667,195.22,0.743,144,0.992,0.07,2113,1,89.25,4,4 keran stabil,stable,0.3,1,0,3.295,0.029333333333333267
2026-07-02T01:39:50.139,2726169,493,0.4024666666666666,0.59,0.2701333333333334,90.2,5000,198.44,1,193.34,0.666,195.19,0.742,144,0.994,0.07,2113,1,90.2,4,4 keran stabil,stable,0.3,1,0,3.888,0.029866666666666597
2026-07-02T01:39:50.688,2726704,503,0.4024666666666667,0.5909333333333333,0.2726666666666666,90.2,5000,198.44,1,193.34,0.666,195.19,0.742,144,0.994,0.07,2113,1,90.2,4,4 keran stabil,stable,0.3,1,0,4.437,0.027333333333333376
2026-07-02T01:39:51.248,2727281,508,0.4031333333333334,0.5913333333333333,0.2740666666666667,90.2,5000,198.44,1,195.5,0.667,197.24,0.743,146,0.996,0.07,2113,1,90.2,4,4 keran stabil,stable,0.3,1,0,4.997,0.025933333333333308
2026-07-02T01:39:51.808,2727816,494,0.4027333333333333,0.5913333333333333,0.2744,90.2,5000,198.44,1,195.5,0.667,197.24,0.743,146,0.996,0.07,2113,1,90.2,4,4 keran stabil,stable,0.3,1,0,5.557,0.02560000000000001
2026-07-02T01:39:52.368,2728393,500,0.4021333333333333,0.5905333333333332,0.2722,90.2,5000,198.44,1,195.54,0.668,197.28,0.744,146,0.994,0.07,2113,1,90.2,4,4 keran stabil,stable,0.3,1,0,6.117,0.02779999999999999
2026-07-02T01:39:52.962,2728969,498,0.4016,0.5903333333333334,0.2717333333333334,90.97,5000,200.12,1,195.5,0.669,197.24,0.745,146,0.993,0.07,2113,1,90.97,4,4 keran stabil,stable,0.3,1,0,6.711,0.028266666666666607
2026-07-02T01:39:53.582,2729611,500,0.4032666666666667,0.5909333333333333,0.2733333333333334,90.97,5000,200.12,1,195.5,0.669,197.24,0.745,146,0.993,0.07,2113,1,90.97,4,4 keran stabil,stable,0.3,1,0,7.331,0.026666666666666616
2026-07-02T01:39:54.145,2730188,504,0.4035333333333333,0.5925333333333334,0.2779999999999999,90.97,5000,200.12,1,197.29,0.671,198.94,0.747,148,0.995,0.07,2113,1,90.97,4,4 keran stabil,stable,0.3,1,0,7.894,0.022000000000000075
