pc_timestamp,stm32_ms,adc_raw,adc_voltage_v,sensor_voltage_v,pressure_bar,duty_percent,frequency_hz,estimated_output_rms_v,jsy_online,jsy_voltage_rms_v,jsy_current_rms_a,jsy_active_power_w,jsy_power_factor,jsy_energy_kwh,jsy_error_count,nn_mode,nn_duty_percent,valve_open_count,valve_state_label,valve_phase,setpoint_bar,episode_id,is_decision,event
2026-06-16T02:08:12.275,4013839,492,0.398266667,0.5814,0.244133333,80,5000,176,1,174.8,0.766,132,0.985,0.02,1787,0,94.07,4,4 keran stabil,stable,0.3,1,0,
2026-06-16T02:08:12.777,4014313,493,0.398066667,0.5812,0.2436,80,5000,176,1,174.72,0.765,132,0.987,0.02,1787,0,94.07,4,4 keran stabil,stable,0.3,1,0,
2026-06-16T02:08:13.373,4014949,489,0.395266667,0.58,0.2398,80,5000,176,1,174.72,0.765,132,0.987,0.02,1787,0,94.07,4,4 keran stabil,stable,0.3,1,0,
2026-06-16T02:08:13.966,4015530,495,0.396,0.5794,0.237933333,80,5000,176,1,174.79,0.764,132,0.988,0.02,1787,0,94.07,4,4 keran stabil,stable,0.3,1,0,
2026-06-16T02:08:14.494,4016060,491,0.399333333,0.5794,0.237733333,80,5000,176,1,174.79,0.764,132,0.988,0.02,1787,0,94.07,4,4 keran stabil,stable,0.3,1,0,
2026-06-16T02:08:15.059,4016640,490,0.398466667,0.579533333,0.238666667,80,5000,176,1,174.71,0.762,132,0.991,0.02,1787,0,94.07,4,4 keran stabil,stable,0.3,1,0,
2026-06-16T02:08:15.584,4017170,492,0.397933333,0.58,0.240866667,80,5000,176,1,174.71,0.762,132,0.991,0.02,1787,0,94.07,4,4 keran stabil,stable,0.3,1,0,
2026-06-16T02:08:16.075,4017645,491,0.395133333,0.5802,0.2416,80,5000,176,1,174.71,0.762,132,0.991,0.02,1787,0,94.07,4,4 keran stabil,stable,0.3,1,0,
2026-06-16T02:08:16.616,4018175,495,0.3958,0.580466667,0.242333333,80,5000,176,1,174.71,0.762,132,0.991,0.02,1787,0,94.07,4,4 keran stabil,stable,0.3,1,0,
2026-06-16T02:08:17.177,4018755,495,0.3958,0.580466667,0.2422,80,5000,176,1,174.73,0.761,131,0.985,0.02,1787,0,94.07,4,4 keran stabil,stable,0.3,1,0,
2026-06-16T02:08:17.783,4019335,483,0.3958,0.5804,0.241533333,80,5000,176,1,174.75,0.759,131,0.987,0.02,1787,0,94.07,4,4 keran stabil,stable,0.3,1,0,
2026-06-16T02:08:18.295,4019867,503,0.3966,0.580733333,0.2424,80,5000,176,1,174.75,0.759,131,0.987,0.02,1787,1,94.07,4,4 keran stabil,stable,0.3,1,0,
2026-06-16T02:08:18.907,4020456,490,0.395533333,0.580266667,0.240466667,80,5000,176,1,174.78,0.76,131,0.986,0.02,1787,1,94.07,4,4 keran stabil,stable,0.3,1,0,
2026-06-16T02:08:19.496,4021092,490,0.395533333,0.579866667,0.238933333,80,5000,176,1,174.78,0.76,131,0.986,0.02,1787,1,94.07,4,4 keran stabil,stable,0.3,1,0,
2026-06-16T02:08:19.998,4021557,473,0.393866667,0.5792,0.236266667,80,5000,176,1,174.77,0.76,131,0.986,0.02,1787,1,94.07,4,4 keran stabil,stable,0.3,1,0,
2026-06-16T02:08:20.505,4022087,496,0.395666667,0.579933333,0.239133333,80,5000,176,1,174.77,0.76,131,0.986,0.02,1787,1,94.07,4,4 keran stabil,stable,0.3,1,0,
2026-06-16T02:08:21.078,4022667,500,0.395933333,0.581,0.2428,82.19,5000,180.83,1,174.74,0.759,131,0.987,0.02,1787,1,82.19,4,4 keran stabil,stable,0.3,1,0,
2026-06-16T02:08:21.604,4023197,496,0.398933333,0.5832,0.25,82.19,5000,180.83,1,174.74,0.759,131,0.987,0.02,1787,1,82.19,4,4 keran stabil,stable,0.3,1,0,
2026-06-16T02:08:22.161,4023778,493,0.397333333,0.584866667,0.254533333,82.19,5000,180.83,1,175.87,0.759,132,0.988,0.02,1787,1,82.19,4,4 keran stabil,stable,0.3,1,0,
2026-06-16T02:08:22.786,4024358,495,0.3992,0.5872,0.261466667,82.19,5000,180.83,1,179.4,0.752,134,0.993,0.02,1787,1,82.19,4,4 keran stabil,stable,0.3,1,0,
