pc_timestamp,stm32_ms,adc_raw,adc_voltage_v,sensor_voltage_v,pressure_bar,duty_percent,frequency_hz,estimated_output_rms_v,jsy_online,jsy_voltage_rms_v,jsy_current_rms_a,jsy_voltage_raw_v,jsy_current_raw_a,jsy_active_power_w,jsy_power_factor,jsy_energy_kwh,jsy_error_count,nn_mode,nn_duty_percent,valve_open_count,valve_state_label,valve_phase,setpoint_bar,episode_id,is_decision,event
2026-07-02T19:07:21.021,267091,507,0.4058,0.5944,0.28313333333333335,78.0,5000,171.6,1,169.05,0.769,172.13,0.844,144,0.991,0.07,21,1,78.0,4,4 keran stabil,stable,0.3,1,0,
2026-07-02T19:07:21.548,267621,511,0.40686666666666665,0.5961333333333333,0.2884,78.0,5000,171.6,1,169.05,0.769,172.13,0.844,144,0.991,0.07,21,1,78.0,4,4 keran stabil,stable,0.3,1,0,
2026-07-02T19:07:22.125,268202,512,0.4074,0.597,0.29119999999999996,78.0,5000,171.6,1,169.13,0.767,172.2,0.842,143,0.986,0.07,21,1,78.0,4,4 keran stabil,stable,0.3,1,0,
2026-07-02T19:07:22.645,268732,503,0.40806666666666663,0.598,0.2938666666666666,78.25,5000,172.15,1,169.13,0.767,172.2,0.842,143,0.986,0.07,21,1,78.25,4,4 keran stabil,stable,0.3,1,0,
2026-07-02T19:07:23.178,269207,518,0.4073333333333334,0.5963333333333334,0.29006666666666664,78.25,5000,172.15,1,169.21,0.769,172.28,0.844,144,0.99,0.07,21,1,78.25,4,4 keran stabil,stable,0.3,1,0,
2026-07-02T19:07:23.677,269737,501,0.4069333333333333,0.5958666666666665,0.2888,78.25,5000,172.15,1,169.21,0.769,172.28,0.844,144,0.99,0.07,21,1,78.25,4,4 keran stabil,stable,0.3,1,0,
2026-07-02T19:07:24.245,270318,501,0.40686666666666665,0.596,0.28886666666666666,78.25,5000,172.15,1,169.26,0.771,172.33,0.846,144,0.987,0.07,21,1,78.25,4,4 keran stabil,stable,0.3,1,0,
2026-07-02T19:07:24.811,270898,521,0.41000000000000003,0.5974,0.29186666666666666,78.25,5000,172.15,1,169.15,0.77,172.22,0.845,144,0.989,0.07,21,1,78.25,4,4 keran stabil,stable,0.3,1,0,
2026-07-02T19:07:25.373,271428,513,0.4104,0.5980666666666666,0.29419999999999996,78.43,5000,172.54,1,169.15,0.77,172.22,0.845,144,0.989,0.07,21,1,78.43,4,4 keran stabil,stable,0.3,1,0,
2026-07-02T19:07:25.933,272009,509,0.41026666666666667,0.5970666666666666,0.2917333333333333,78.43,5000,172.54,1,169.46,0.768,172.52,0.843,144,0.99,0.07,21,1,78.43,4,4 keran stabil,stable,0.3,1,0,
2026-07-02T19:07:26.478,272539,508,0.4068,0.5958666666666665,0.2879333333333333,78.43,5000,172.54,1,169.46,0.768,172.52,0.843,144,0.99,0.07,21,1,78.43,4,4 keran stabil,stable,0.3,1,0,
2026-07-02T19:07:27.029,273120,500,0.40573333333333333,0.5956666666666666,0.2868,78.43,5000,172.54,1,169.66,0.771,172.71,0.846,144,0.985,0.07,21,1,78.43,4,4 keran stabil,stable,0.3,1,0,
2026-07-02T19:07:27.592,273650,502,0.4014,0.5944666666666667,0.2829333333333333,78.43,5000,172.54,1,169.66,0.771,172.71,0.846,144,0.985,0.07,21,1,78.43,4,4 keran stabil,stable,0.3,1,0,
2026-07-02T19:07:28.142,274231,501,0.4030666666666667,0.5947333333333333,0.28386666666666666,78.43,5000,172.54,1,169.57,0.771,172.62,0.846,144,0.986,0.07,21,1,78.43,4,4 keran stabil,stable,0.3,1,0,
2026-07-02T19:07:28.656,274761,509,0.40399999999999997,0.5949333333333333,0.28513333333333335,78.63,5000,172.99,1,169.57,0.771,172.62,0.846,144,0.986,0.07,21,1,78.63,4,4 keran stabil,stable,0.3,1,0,
2026-07-02T19:07:29.152,275236,504,0.4092,0.5963999999999999,0.2895333333333333,78.63,5000,172.99,1,169.7,0.769,172.75,0.844,144,0.987,0.07,21,1,78.63,4,4 keran stabil,stable,0.3,1,0,
2026-07-02T19:07:29.687,275766,505,0.4098,0.5972666666666666,0.29206666666666664,78.63,5000,172.99,1,169.7,0.769,172.75,0.844,144,0.987,0.07,21,1,78.63,4,4 keran stabil,stable,0.3,1,0,
2026-07-02T19:07:30.233,276346,511,0.41026666666666667,0.5972666666666666,0.2912666666666667,78.63,5000,172.99,1,169.73,0.768,172.77,0.843,144,0.988,0.07,21,1,78.63,4,4 keran stabil,stable,0.3,1,0,
2026-07-02T19:07:30.843,276926,436,0.4046,0.5963999999999999,0.289,78.63,5000,172.99,1,169.89,0.769,172.93,0.844,144,0.986,0.07,21,1,78.63,4,4 keran stabil,stable,0.3,1,0,
2026-07-02T19:07:31.341,277457,497,0.40253333333333335,0.5953999999999999,0.2859333333333333,78.89,5000,173.55,1,169.89,0.769,172.93,0.844,144,0.986,0.07,21,1,78.89,4,4 keran stabil,stable,0.3,1,0,
2026-07-02T19:07:31.842,277931,504,0.3998666666666667,0.5940666666666666,0.2823333333333334,78.89,5000,173.55,1,169.89,0.769,172.93,0.844,144,0.986,0.07,21,1,78.89,4,4 keran stabil,stable,0.3,1,0,
2026-07-02T19:07:32.376,278462,508,0.39920000000000005,0.5944666666666667,0.2833333333333333,78.89,5000,173.55,1,169.89,0.769,172.93,0.844,144,0.986,0.07,21,1,78.89,4,4 keran stabil,stable,0.3,1,0,
2026-07-02T19:07:32.970,279043,500,0.4032,0.5956666666666666,0.2872,78.89,5000,173.55,1,170.52,0.767,173.52,0.842,144,0.985,0.07,21,1,78.89,4,4 keran stabil,stable,0.3,1,0,
2026-07-02T19:07:33.580,279679,506,0.4074,0.5970666666666666,0.2915333333333333,78.89,5000,173.55,1,170.52,0.767,173.52,0.842,144,0.985,0.07,21,1,78.89,4,4 keran stabil,stable,0.3,1,0,
2026-07-02T19:07:34.173,280260,504,0.4076,0.5958666666666665,0.28819999999999996,78.89,5000,173.55,1,170.57,0.77,173.57,0.845,145,0.988,0.07,21,1,78.89,4,4 keran stabil,stable,0.3,1,0,
2026-07-02T19:07:34.702,280790,508,0.40806666666666663,0.5962666666666666,0.28959999999999997,79.08,5000,173.97,1,170.57,0.77,173.57,0.845,145,0.988,0.07,21,1,79.08,4,4 keran stabil,stable,0.3,1,0,
2026-07-02T19:07:35.263,281370,505,0.4079333333333333,0.5972666666666666,0.29273333333333335,79.08,5000,173.97,1,170.45,0.769,173.46,0.844,145,0.99,0.07,21,1,79.08,4,4 keran stabil,stable,0.3,1,0,
2026-07-02T19:07:35.852,281950,510,0.40706666666666663,0.5992,0.2982666666666667,79.08,5000,173.97,1,170.8,0.768,173.79,0.843,145,0.989,0.07,21,1,79.08,4,4 keran stabil,stable,0.3,1,0,
2026-07-02T19:07:36.388,282481,512,0.40706666666666663,0.5985999999999999,0.29633333333333334,79.08,5000,173.97,1,170.8,0.768,173.79,0.843,145,0.989,0.07,21,1,79.08,4,4 keran stabil,stable,0.3,1,0,
2026-07-02T19:07:36.951,283062,509,0.4098,0.5993333333333334,0.2981333333333333,79.08,5000,173.97,1,170.94,0.766,173.92,0.841,145,0.991,0.07,21,1,79.08,4,4 keran stabil,stable,0.3,1,0,
2026-07-02T19:07:37.499,283592,494,0.4103333333333333,0.5985999999999999,0.29573333333333335,78.99,5000,173.78,1,170.94,0.766,173.92,0.841,145,0.991,0.07,21,1,78.99,4,4 keran stabil,stable,0.3,1,0,
2026-07-02T19:07:38.058,284173,506,0.41059999999999997,0.5985333333333334,0.2952666666666667,78.99,5000,173.78,1,170.95,0.766,173.93,0.841,145,0.991,0.07,21,1,78.99,4,4 keran stabil,stable,0.3,1,0,
2026-07-02T19:07:38.559,284703,519,0.4056666666666667,0.5966,0.28973333333333334,78.99,5000,173.78,1,170.95,0.766,173.93,0.841,145,0.991,0.07,21,1,78.99,4,4 keran stabil,stable,0.3,1,0,
2026-07-02T19:07:39.073,285178,511,0.4062666666666666,0.597,0.29100000000000004,78.99,5000,173.78,1,170.75,0.766,173.74,0.841,145,0.992,0.07,21,1,78.99,4,4 keran stabil,stable,0.3,1,0,
2026-07-02T19:07:39.607,285708,498,0.4058,0.5968,0.29019999999999996,78.99,5000,173.78,1,170.75,0.766,173.74,0.841,145,0.992,0.07,21,1,78.99,4,4 keran stabil,stable,0.3,1,0,
2026-07-02T19:07:40.171,286288,500,0.40813333333333335,0.5968,0.29,78.99,5000,173.78,1,170.65,0.766,173.65,0.841,144,0.986,0.07,21,1,78.99,4,4 keran stabil,stable,0.3,1,0,
2026-07-02T19:07:40.680,286818,504,0.40599999999999997,0.5962666666666666,0.28859999999999997,79.36,5000,174.6,1,170.65,0.766,173.65,0.841,144,0.986,0.07,21,1,79.36,4,4 keran stabil,stable,0.3,1,0,
2026-07-02T19:07:41.261,287399,509,0.40513333333333335,0.598,0.294,79.36,5000,174.6,1,170.76,0.767,173.75,0.842,145,0.991,0.07,21,1,79.36,4,4 keran stabil,stable,0.3,1,0,
2026-07-02T19:07:41.876,287979,502,0.4030666666666667,0.5980666666666666,0.29433333333333334,79.36,5000,174.6,1,171.35,0.766,174.31,0.841,145,0.989,0.07,21,1,79.36,4,4 keran stabil,stable,0.3,1,0,
2026-07-02T19:07:42.409,288510,505,0.4063333333333334,0.5986666666666667,0.29646666666666666,79.36,5000,174.6,1,171.35,0.766,174.31,0.841,145,0.989,0.07,21,1,79.36,4,4 keran stabil,stable,0.3,1,0,
2026-07-02T19:07:42.952,289091,512,0.41026666666666667,0.6013999999999999,0.3048,79.36,5000,174.6,1,171.78,0.768,174.72,0.843,146,0.991,0.07,21,1,79.36,4,4 keran stabil,stable,0.3,1,0,
2026-07-02T19:07:43.499,289621,499,0.415,0.6052666666666667,0.31666666666666665,78.55,5000,172.81,1,171.78,0.768,174.72,0.843,146,0.991,0.07,21,1,78.55,4,4 keran stabil,stable,0.3,1,0,
2026-07-02T19:07:44.036,290202,513,0.41386666666666666,0.6073333333333333,0.32260000000000005,78.55,5000,172.81,1,171.16,0.797,174.13,0.872,150,0.987,0.07,21,1,78.55,4,4 keran stabil,stable,0.3,1,0,
2026-07-02T19:07:44.600,290732,501,0.4118,0.6057333333333333,0.3174,78.55,5000,172.81,1,171.16,0.797,174.13,0.872,150,0.987,0.07,21,1,78.55,4,4 keran stabil,stable,0.3,1,0,
2026-07-02T19:07:45.170,291313,509,0.4106666666666667,0.6032,0.3095333333333333,78.55,5000,172.81,1,169.55,0.794,172.6,0.869,148,0.986,0.07,21,1,78.55,4,4 keran stabil,stable,0.3,1,0,
2026-07-02T19:07:45.681,291843,514,0.41026666666666667,0.6010666666666666,0.30326666666666663,78.55,5000,172.81,1,169.55,0.794,172.6,0.869,148,0.986,0.07,21,1,78.55,4,4 keran stabil,stable,0.3,1,0,
2026-07-02T19:07:46.303,292424,509,0.41006666666666663,0.5994666666666666,0.30033333333333334,78.55,5000,172.81,1,169.29,0.797,172.36,0.872,149,0.991,0.07,21,1,78.55,3,3 keran stabil,stable,0.3,1,0,
2026-07-02T19:07:46.859,293004,510,0.41013333333333335,0.6,0.30193333333333333,78.34,5000,172.35,1,169.7,0.797,172.75,0.872,149,0.989,0.07,21,1,78.34,3,3 keran stabil,stable,0.3,1,0,
