pc_timestamp,stm32_ms,adc_raw,adc_voltage_v,sensor_voltage_v,pressure_bar,duty_percent,frequency_hz,estimated_output_rms_v,jsy_online,jsy_voltage_rms_v,jsy_current_rms_a,jsy_voltage_raw_v,jsy_current_raw_a,jsy_active_power_w,jsy_power_factor,jsy_energy_kwh,jsy_error_count,nn_mode,nn_duty_percent,valve_open_count,valve_state_label,valve_phase,setpoint_bar,episode_id,is_decision,event
2026-06-25T01:59:21.186,2218337,527,0.426333333,0.6254,0.3764,85,5000,187,1,183.35,0.722,185.7,0.798,147,0.991,0.05,1360,1,95,-,Belum ditandai,unset,0.3,1,0,
2026-06-25T01:59:21.694,2218872,528,0.425266667,0.625333333,0.376133333,85,5000,187,1,183.35,0.722,185.7,0.798,147,0.991,0.05,1360,1,95,-,Belum ditandai,unset,0.3,1,0,
2026-06-25T01:59:22.289,2219449,532,0.425933333,0.625,0.3754,82.43,5000,181.35,1,183.37,0.722,185.72,0.798,147,0.991,0.05,1360,1,82.43,-,Belum ditandai,unset,0.3,1,0,
2026-06-25T01:59:22.851,2220026,508,0.423866667,0.6222,0.3666,82.43,5000,181.35,1,180.19,0.717,182.7,0.793,144,0.993,0.05,1360,1,82.43,-,Belum ditandai,unset,0.3,1,0,
2026-06-25T01:59:23.415,2220561,510,0.421933333,0.619,0.357133333,82.43,5000,181.35,1,180.19,0.717,182.7,0.793,144,0.993,0.05,1360,1,82.43,-,Belum ditandai,unset,0.3,1,0,
2026-06-25T01:59:23.943,2221138,527,0.419266667,0.6158,0.347133333,82.43,5000,181.35,1,177.59,0.721,180.24,0.797,142,0.988,0.05,1360,1,82.43,-,Belum ditandai,unset,0.3,1,0,
2026-06-25T01:59:24.508,2221673,525,0.420866667,0.6152,0.345266667,82.43,5000,181.35,1,177.59,0.721,180.24,0.797,142,0.988,0.05,1360,1,82.43,-,Belum ditandai,unset,0.3,1,0,
2026-06-25T01:59:25.074,2222250,522,0.4204,0.614866667,0.344066667,82.43,5000,181.35,1,177.62,0.721,180.26,0.797,142,0.988,0.05,1360,1,82.43,-,Belum ditandai,unset,0.3,1,0,
2026-06-25T01:59:25.574,2222785,499,0.418066667,0.613266667,0.339266667,80.37,5000,176.81,1,177.62,0.721,180.26,0.797,142,0.988,0.05,1360,1,80.37,-,Belum ditandai,unset,0.3,1,0,
2026-06-25T01:59:26.077,2223255,507,0.414,0.609933333,0.3296,80.37,5000,176.81,1,175.9,0.718,178.63,0.794,140,0.987,0.05,1360,1,80.37,-,Belum ditandai,unset,0.3,1,0,
