pc_timestamp,stm32_ms,adc_raw,adc_voltage_v,sensor_voltage_v,pressure_bar,duty_percent,frequency_hz,estimated_output_rms_v,jsy_online,jsy_voltage_rms_v,jsy_current_rms_a,jsy_active_power_w,jsy_power_factor,jsy_energy_kwh,jsy_error_count,nn_mode,nn_duty_percent,valve_open_count,valve_state_label,valve_phase,setpoint_bar,episode_id,is_decision
2026-06-14T05:22:44.707,188128,533,0.421866667,0.6208,0.3628,80,5000,176,1,174.45,0.795,137,0.987,0.01,0,0,0,3,3 keran stabil,stable,0.3,1,0
2026-06-14T05:22:45.265,188712,540,0.422266667,0.620733333,0.3626,80,5000,176,1,174.46,0.795,137,0.987,0.01,0,0,0,3,3 keran stabil,stable,0.3,1,0
2026-06-14T05:22:45.784,189237,520,0.423666667,0.6198,0.359666667,80,5000,176,1,174.46,0.795,137,0.987,0.01,0,0,0,3,3 keran stabil,stable,0.3,1,0
2026-06-14T05:22:46.306,189706,524,0.4234,0.618466667,0.355466667,80,5000,176,1,174.43,0.796,137,0.986,0.01,0,0,0,3,3 keran stabil,stable,0.3,1,0
2026-06-14T05:22:46.806,190232,500,0.4226,0.6174,0.352133333,80,5000,176,1,174.43,0.796,137,0.986,0.01,0,0,0,3,3 keran stabil,stable,0.3,1,0
2026-06-14T05:22:47.002,190442,529,0.421533333,0.617133333,0.351333333,80,5000,176,1,174.43,0.796,137,0.986,0.01,0,0,0,3,3 keran stabil,stable,0.3,1,1
2026-06-14T05:22:47.313,190754,513,0.419333333,0.617533333,0.352533333,80,5000,176,1,174.41,0.795,137,0.988,0.01,0,0,0,3,3 keran stabil,stable,0.3,1,0
2026-06-14T05:22:47.869,191279,502,0.4194,0.617266667,0.351866667,80,5000,176,1,174.41,0.795,137,0.988,0.01,0,0,0,3,3 keran stabil,stable,0.3,1,0
2026-06-14T05:22:48.401,191842,529,0.419,0.618733333,0.356,80,5000,176,1,174.44,0.796,137,0.986,0.01,0,0,0,3,3 keran stabil,stable,0.3,1,0
2026-06-14T05:22:48.935,192367,530,0.4196,0.618466667,0.355066667,80,5000,176,1,174.44,0.796,137,0.986,0.01,0,0,0,3,3 keran stabil,stable,0.3,1,0
2026-06-14T05:22:49.430,192846,539,0.421533333,0.618466667,0.354666667,80,5000,176,1,174.42,0.796,137,0.986,0.01,0,0,0,3,3 keran stabil,stable,0.3,1,0
2026-06-14T05:22:50.021,193476,521,0.4214,0.6168,0.349866667,80,5000,176,1,174.42,0.796,137,0.986,0.01,0,0,0,3,3 keran stabil,stable,0.3,1,0
2026-06-14T05:22:50.509,193946,524,0.4242,0.617066667,0.3506,80,5000,176,1,174.46,0.795,137,0.987,0.01,0,0,0,3,3 keran stabil,stable,0.3,1,1
2026-06-14T05:22:50.631,194051,527,0.424066667,0.6174,0.351533333,80,5000,176,1,174.46,0.795,137,0.987,0.01,0,0,0,3,3 keran stabil,stable,0.3,1,0
2026-06-14T05:22:51.227,194681,549,0.4212,0.6184,0.355266667,80,5000,176,1,174.46,0.795,137,0.987,0.01,0,0,0,3,3 keran stabil,stable,0.3,1,0
2026-06-14T05:22:51.777,195203,529,0.423,0.6206,0.3618,80,5000,176,1,174.43,0.796,137,0.986,0.01,0,0,0,3,3 keran stabil,stable,0.3,1,0
2026-06-14T05:22:52.301,195765,521,0.420133333,0.619533333,0.359466667,80,5000,176,1,174.44,0.795,137,0.987,0.01,0,0,0,3,3 keran stabil,stable,0.3,1,0
2026-06-14T05:22:52.835,196291,501,0.419266667,0.6196,0.359533333,80,5000,176,1,174.44,0.795,137,0.987,0.01,0,0,0,3,3 keran stabil,stable,0.3,1,0
2026-06-14T05:22:53.422,196876,524,0.416466667,0.616333333,0.349333333,80,5000,176,1,174.47,0.793,137,0.99,0.01,0,0,0,3,3 keran stabil,stable,0.3,1,0
2026-06-14T05:22:53.955,197401,517,0.4164,0.615666667,0.347,80,5000,176,1,174.47,0.793,137,0.99,0.01,0,0,0,3,3 keran stabil,stable,0.3,1,0
2026-06-14T05:22:54.018,197506,525,0.416533333,0.615266667,0.345666667,80,5000,176,1,174.47,0.793,137,0.99,0.01,0,0,0,3,3 keran stabil,stable,0.3,1,1
2026-06-14T05:22:54.516,197985,534,0.4188,0.615933333,0.3476,80,5000,176,1,174.45,0.793,137,0.99,0.01,0,0,0,3,3 keran stabil,stable,0.3,1,0
2026-06-14T05:22:55.069,198510,518,0.418466667,0.617533333,0.352866667,80,5000,176,1,174.45,0.793,137,0.99,0.01,0,0,0,3,3 keran stabil,stable,0.3,1,0
2026-06-14T05:22:55.622,199085,528,0.420866667,0.618866667,0.356266667,80,5000,176,1,174.43,0.793,137,0.99,0.01,0,0,0,3,3 keran stabil,stable,0.3,1,0
2026-06-14T05:22:56.121,199610,500,0.421266667,0.6188,0.355866667,80,5000,176,1,174.43,0.793,137,0.99,0.01,0,0,0,3,3 keran stabil,stable,0.3,1,0
2026-06-14T05:22:56.685,200132,510,0.4254,0.62,0.3594,80,5000,176,1,174.36,0.794,137,0.989,0.01,0,0,0,3,3 keran stabil,stable,0.3,1,0
2026-06-14T05:22:57.307,200799,569,0.426,0.619533333,0.3584,80,5000,176,1,174.38,0.793,137,0.99,0.01,0,0,0,3,3 keran stabil,stable,0.3,1,0
2026-06-14T05:22:57.526,200905,527,0.426533333,0.619466667,0.358133333,80,5000,176,1,174.38,0.793,137,0.99,0.01,0,0,0,3,3 keran stabil,stable,0.3,1,1
2026-06-14T05:22:57.871,201325,528,0.426266667,0.619333333,0.357933333,80,5000,176,1,174.38,0.793,137,0.99,0.01,0,0,0,3,3 keran stabil,stable,0.3,1,0
2026-06-14T05:22:58.432,201909,522,0.426266667,0.619333333,0.357933333,80,5000,176,1,174.44,0.792,137,0.991,0.01,0,0,0,3,3 keran stabil,stable,0.3,1,0
2026-06-14T05:22:58.977,202434,533,0.4244,0.618666667,0.356,80,5000,176,1,174.44,0.792,137,0.991,0.01,0,0,0,3,3 keran stabil,stable,0.3,1,0
2026-06-14T05:22:59.538,203009,533,0.425666667,0.619533333,0.358933333,80,5000,176,1,174.45,0.792,137,0.991,0.01,0,0,0,3,3 keran stabil,stable,0.3,1,0
2026-06-14T05:23:00.068,203534,526,0.420866667,0.620066667,0.360666667,80,5000,176,1,174.45,0.792,137,0.991,0.01,0,0,0,3,3 keran stabil,stable,0.3,1,0
2026-06-14T05:23:00.565,204056,539,0.421933333,0.620533333,0.362066667,80,5000,176,1,174.46,0.793,137,0.99,0.01,0,0,0,3,3 keran stabil,stable,0.3,1,0
2026-06-14T05:23:01.031,204476,518,0.420533333,0.618266667,0.355333333,80,5000,176,1,174.46,0.793,137,0.99,0.01,0,0,0,3,3 keran stabil,stable,0.3,1,1
2026-06-14T05:23:01.127,204581,536,0.420666667,0.618133333,0.354733333,80,5000,176,1,174.46,0.793,137,0.99,0.01,0,0,0,3,3 keran stabil,stable,0.3,1,0
2026-06-14T05:23:01.688,205144,543,0.423333333,0.617866667,0.353933333,80,5000,176,1,174.44,0.792,137,0.991,0.01,0,0,0,3,3 keran stabil,stable,0.3,1,0
2026-06-14T05:23:02.185,205669,535,0.4226,0.6178,0.353733333,80,5000,176,1,174.44,0.792,137,0.991,0.01,0,0,0,3,3 keran stabil,stable,0.3,1,0
2026-06-14T05:23:02.683,206148,522,0.420466667,0.618266667,0.355066667,80,5000,176,1,174.43,0.791,137,0.992,0.01,0,0,0,3,3 keran stabil,stable,0.3,1,0
2026-06-14T05:23:03.305,206827,510,0.418066667,0.616666667,0.350466667,80,5000,176,1,174.44,0.792,137,0.991,0.01,0,0,0,3,3 keran stabil,stable,0.3,1,0
2026-06-14T05:23:03.867,207353,518,0.417266667,0.615,0.345466667,80,5000,176,1,174.44,0.792,137,0.991,0.01,0,0,0,3,3 keran stabil,stable,0.3,1,0
2026-06-14T05:23:04.366,207875,531,0.417866667,0.614666667,0.344466667,80,5000,176,1,174.44,0.792,137,0.991,0.01,0,0,0,3,3 keran stabil,stable,0.3,1,0
2026-06-14T05:23:04.536,207980,521,0.418533333,0.614733333,0.3448,80,5000,176,1,174.44,0.792,137,0.991,0.01,0,0,0,3,3 keran stabil,stable,0.3,1,1
2026-06-14T05:23:04.913,208401,527,0.4188,0.615733333,0.3476,80,5000,176,1,174.44,0.792,137,0.991,0.01,0,0,0,3,3 keran stabil,stable,0.3,1,0
2026-06-14T05:23:05.471,208963,512,0.4194,0.618133333,0.3548,80,5000,176,1,174.46,0.792,137,0.991,0.01,0,0,0,3,3 keran stabil,stable,0.3,1,0
2026-06-14T05:23:06.002,209488,519,0.421266667,0.618533333,0.355666667,80,5000,176,1,174.46,0.792,137,0.991,0.01,0,0,0,3,3 keran stabil,stable,0.3,1,0
2026-06-14T05:23:06.553,210073,534,0.422866667,0.616466667,0.351,80,5000,176,1,174.4,0.791,136,0.985,0.01,0,0,0,3,3 keran stabil,stable,0.3,1,0
2026-06-14T05:23:07.062,210598,528,0.4228,0.614066667,0.343733333,80,5000,176,1,174.4,0.791,136,0.985,0.01,0,0,0,3,3 keran stabil,stable,0.3,1,0
2026-06-14T05:23:07.594,211078,520,0.424266667,0.614666667,0.345866667,80,5000,176,1,174.41,0.791,136,0.985,0.01,0,0,0,3,3 keran stabil,stable,0.3,1,0
2026-06-14T05:23:08.046,211498,518,0.4254,0.616466667,0.349533333,80,5000,176,1,174.41,0.791,136,0.985,0.01,0,0,0,3,3 keran stabil,stable,0.3,1,1
2026-06-14T05:23:08.095,211603,551,0.426933333,0.617533333,0.352666667,80,5000,176,1,174.41,0.791,136,0.985,0.01,0,0,0,3,3 keran stabil,stable,0.3,1,0
2026-06-14T05:23:08.650,212187,528,0.4264,0.617933333,0.353733333,80,5000,176,1,174.42,0.793,137,0.99,0.01,0,0,0,3,3 keran stabil,stable,0.3,1,0
2026-06-14T05:23:09.213,212712,520,0.423733333,0.617,0.3508,80,5000,176,1,174.42,0.793,137,0.99,0.01,0,0,0,3,3 keran stabil,stable,0.3,1,0
2026-06-14T05:23:09.774,213287,519,0.420066667,0.6156,0.346466667,80,5000,176,1,174.48,0.793,137,0.99,0.01,0,0,0,3,3 keran stabil,stable,0.3,1,0
2026-06-14T05:23:10.274,213812,526,0.421333333,0.616333333,0.348733333,80,5000,176,1,174.48,0.793,137,0.99,0.01,0,0,0,3,3 keran stabil,stable,0.3,1,0
2026-06-14T05:23:10.835,214334,531,0.4212,0.617333333,0.352066667,80,5000,176,1,174.45,0.793,137,0.99,0.01,0,0,0,3,3 keran stabil,stable,0.3,1,0
2026-06-14T05:23:11.336,214886,523,0.421266667,0.617266667,0.352,80,5000,176,1,174.41,0.793,137,0.99,0.01,0,0,0,3,3 keran stabil,stable,0.3,1,0
2026-06-14T05:23:11.552,214992,531,0.4218,0.617466667,0.3526,80,5000,176,1,174.41,0.793,137,0.99,0.01,0,0,0,3,3 keran stabil,stable,0.3,1,1
2026-06-14T05:23:11.879,215412,526,0.4214,0.617133333,0.351666667,80,5000,176,1,174.41,0.793,137,0.99,0.01,0,0,0,3,3 keran stabil,stable,0.3,1,0
2026-06-14T05:23:12.428,215934,533,0.422533333,0.614933333,0.345,80,5000,176,1,174.38,0.793,137,0.99,0.01,0,0,0,3,3 keran stabil,stable,0.3,1,0
2026-06-14T05:23:13.016,216564,522,0.422266667,0.613466667,0.3404,80,5000,176,1,174.38,0.793,137,0.99,0.01,0,0,0,3,3 keran stabil,stable,0.3,1,0
2026-06-14T05:23:13.574,217127,526,0.419733333,0.613,0.3384,80,5000,176,1,174.42,0.792,137,0.991,0.01,0,0,0,3,3 keran stabil,stable,0.3,1,0
2026-06-14T05:23:14.134,217652,534,0.4212,0.613266667,0.340266667,80,5000,176,1,174.42,0.792,137,0.991,0.01,0,0,0,3,3 keran stabil,stable,0.3,1,0
2026-06-14T05:23:14.700,218237,547,0.421733333,0.6134,0.341066667,80,5000,176,1,174.37,0.792,137,0.992,0.01,0,0,0,3,3 keran stabil,stable,0.3,1,0
2026-06-14T05:23:15.209,218762,550,0.421666667,0.612733333,0.339066667,80,5000,176,1,174.37,0.792,137,0.992,0.01,0,0,0,3,3 keran stabil,stable,0.3,1,0
2026-06-14T05:23:15.718,219242,535,0.422,0.613133333,0.3392,80,5000,176,1,174.36,0.791,137,0.993,0.01,0,0,0,3,3 keran stabil,stable,0.3,1,0
2026-06-14T05:23:16.224,219767,530,0.417533333,0.614133333,0.3414,80,5000,176,1,174.36,0.791,137,0.993,0.01,0,0,0,3,3 keran stabil,stable,0.3,1,0
