pc_timestamp,stm32_ms,adc_raw,adc_voltage_v,sensor_voltage_v,pressure_bar,duty_percent,frequency_hz,estimated_output_rms_v,jsy_online,jsy_voltage_rms_v,jsy_current_rms_a,jsy_active_power_w,jsy_power_factor,jsy_energy_kwh,jsy_error_count,nn_mode,nn_duty_percent,valve_open_count,valve_state_label,valve_phase
2026-06-09T23:13:39.548,142761,408,0.341933333,0.499933333,0.015666667,85,5000,187,1,133.11,0.76,98,0.968,0.01,37,0,0,0,0 keran stabil,stable
2026-06-09T23:13:40.047,143241,569,0.370466667,0.5344,0.114466667,85,5000,187,1,143.65,0.817,114,0.971,0.01,37,0,0,0,0 keran stabil,stable
2026-06-09T23:13:40.544,143766,579,0.409,0.59,0.277466667,85,5000,187,1,143.65,0.817,114,0.971,0.01,37,0,0,0,0 keran stabil,stable
2026-06-09T23:13:41.046,144245,564,0.4382,0.6334,0.404466667,85,5000,187,1,184.15,0.915,167,0.991,0.01,37,0,0,0,0 keran stabil,stable
2026-06-09T23:13:41.545,144770,583,0.4576,0.666666667,0.5002,85,5000,187,1,184.15,0.915,167,0.991,0.01,37,0,0,0,0 keran stabil,stable
2026-06-09T23:13:42.046,145240,562,0.456933333,0.666,0.498,85,5000,187,1,184.03,0.917,168,0.995,0.01,37,0,0,0,0 keran stabil,stable
2026-06-09T23:13:42.544,145765,558,0.455133333,0.6658,0.496933333,85,5000,187,1,184.03,0.917,168,0.995,0.01,37,0,0,0,0 keran stabil,stable
2026-06-09T23:13:43.103,146287,564,0.453333333,0.664066667,0.492,85,5000,187,1,183.94,0.915,167,0.992,0.01,37,0,0,0,0 keran stabil,stable
2026-06-09T23:13:43.603,146812,568,0.452066667,0.661933333,0.486,85,5000,187,1,183.94,0.915,167,0.992,0.01,37,0,0,0,0 keran stabil,stable
2026-06-09T23:13:44.168,147374,560,0.451733333,0.6626,0.4882,85,5000,187,1,184.11,0.913,167,0.993,0.01,37,0,0,0,0 keran stabil,stable
2026-06-09T23:13:44.710,147899,555,0.451933333,0.6628,0.488533333,85,5000,187,1,184.11,0.913,167,0.993,0.01,37,0,0,0,0 keran stabil,stable
2026-06-09T23:13:45.274,148474,551,0.45,0.661666667,0.485066667,85,5000,187,1,184.22,0.913,167,0.992,0.01,37,0,0,0,0 keran stabil,stable
2026-06-09T23:13:45.771,148999,560,0.4504,0.659333333,0.4784,85,5000,187,1,184.22,0.913,167,0.992,0.01,37,0,0,0,0 keran stabil,stable
2026-06-09T23:13:46.318,149521,566,0.449533333,0.6594,0.4786,85,5000,187,1,184.21,0.91,167,0.996,0.01,37,0,0,0,0 keran stabil,stable
2026-06-09T23:13:46.818,150046,565,0.450733333,0.661,0.4834,85,5000,187,1,184.21,0.91,167,0.996,0.01,37,0,0,0,0 keran stabil,stable
2026-06-09T23:13:47.379,150608,563,0.451333333,0.661333333,0.4842,85,5000,187,1,184.12,0.909,166,0.991,0.01,37,0,0,0,0 keran stabil,stable
2026-06-09T23:13:47.939,151192,574,0.4524,0.660866667,0.483066667,85,5000,187,1,184.09,0.911,166,0.989,0.01,37,0,0,0,0 keran stabil,stable
2026-06-09T23:13:48.504,151718,543,0.451266667,0.66,0.480533333,85,5000,187,1,184.09,0.911,166,0.989,0.01,37,0,0,0,0 keran stabil,stable
2026-06-09T23:13:49.044,152303,557,0.450666667,0.6606,0.482066667,85,5000,187,1,184.02,0.912,167,0.995,0.01,37,0,0,0,0 keran stabil,stable
2026-06-09T23:13:49.580,152828,558,0.451,0.6604,0.481266667,85,5000,187,1,184.02,0.912,167,0.995,0.01,37,0,0,0,0 keran stabil,stable
2026-06-09T23:13:50.082,153307,556,0.451066667,0.6598,0.479133333,85,5000,187,1,184.16,0.912,167,0.994,0.01,37,0,0,0,0 keran stabil,stable
2026-06-09T23:13:50.580,153832,553,0.449466667,0.6586,0.476,85,5000,187,1,184.16,0.912,167,0.994,0.01,37,0,0,0,0 keran stabil,stable
2026-06-09T23:13:51.080,154302,563,0.448266667,0.657066667,0.470933333,85,5000,187,1,184.05,0.912,167,0.994,0.01,37,0,0,0,0 keran stabil,stable
2026-06-09T23:13:51.579,154827,556,0.447933333,0.657133333,0.471133333,85,5000,187,1,184.05,0.912,167,0.994,0.01,37,0,0,0,0 keran stabil,stable
2026-06-09T23:13:52.140,155349,558,0.4478,0.656666667,0.469733333,85,5000,187,1,184.05,0.909,166,0.992,0.01,37,0,0,0,0 keran stabil,stable
2026-06-09T23:13:52.638,155874,555,0.453666667,0.659733333,0.479066667,85,5000,187,1,184.05,0.909,166,0.992,0.01,37,0,0,0,0 keran stabil,stable
2026-06-09T23:13:53.203,156436,558,0.456133333,0.6602,0.480466667,85,5000,187,1,183.89,0.908,166,0.994,0.01,37,0,0,0,0 keran stabil,stable
2026-06-09T23:13:53.698,156961,562,0.456866667,0.6602,0.4804,85,5000,187,1,183.89,0.908,166,0.994,0.01,37,0,0,0,0 keran stabil,stable
2026-06-09T23:13:54.202,157431,565,0.451,0.6612,0.483933333,85,5000,187,1,184,0.908,166,0.993,0.01,37,0,0,0,0 keran stabil,stable
2026-06-09T23:13:54.728,157956,570,0.450466667,0.660666667,0.482333333,85,5000,187,1,184,0.908,166,0.993,0.01,37,0,0,0,0 keran stabil,stable
2026-06-09T23:13:55.230,158478,569,0.454066667,0.661333333,0.484066667,85,5000,187,1,184.05,0.908,166,0.993,0.01,37,0,0,0,0 keran stabil,stable
2026-06-09T23:13:55.730,159003,558,0.453466667,0.6594,0.478,85,5000,187,1,184.05,0.908,166,0.993,0.01,37,0,0,0,0 keran stabil,stable
2026-06-09T23:13:56.227,159460,554,0.4516,0.659066667,0.4768,85,5000,187,1,184.11,0.906,166,0.995,0.01,37,0,0,0,0 keran stabil,stable
2026-06-09T23:13:56.722,159985,566,0.451733333,0.660266667,0.481,85,5000,187,1,184.11,0.906,166,0.995,0.01,37,0,0,0,0 keran stabil,stable
2026-06-09T23:13:57.318,160560,566,0.4504,0.659733333,0.479666667,85,5000,187,1,184.1,0.908,166,0.993,0.01,37,0,0,0,0 keran stabil,stable
2026-06-09T23:13:57.809,161085,558,0.453933333,0.660466667,0.4824,85,5000,187,1,184.1,0.908,166,0.993,0.01,37,0,0,0,0 keran stabil,stable
2026-06-09T23:13:58.330,161607,557,0.4474,0.6582,0.475133333,85,5000,187,1,184.03,0.907,166,0.994,0.01,37,0,0,0,0 keran stabil,stable
