pc_timestamp,stm32_ms,adc_raw,adc_voltage_v,sensor_voltage_v,pressure_bar,duty_percent,frequency_hz,estimated_output_rms_v,jsy_online,jsy_voltage_rms_v,jsy_current_rms_a,jsy_active_power_w,jsy_power_factor,jsy_energy_kwh,jsy_error_count,nn_mode,nn_duty_percent,valve_open_count,valve_state_label,valve_phase,setpoint_bar,episode_id,is_decision,event
2026-06-17T02:11:20.361,328061,417,0.329666667,0.4868,0.01,65,5000,143,1,143.84,0.781,109,0.97,0.05,20,0,0,-,Belum ditandai,unset,0.3,1,0,
2026-06-17T02:11:20.928,328586,425,0.3322,0.487466667,0.01,65,5000,143,1,143.84,0.781,109,0.97,0.05,20,0,0,-,Belum ditandai,unset,0.3,1,0,
2026-06-17T02:11:21.468,329161,426,0.335133333,0.4888,0.01,65,5000,143,1,143.89,0.764,107,0.973,0.05,20,0,0,-,Belum ditandai,unset,0.3,1,0,
2026-06-17T02:11:22.034,329686,419,0.340533333,0.493066667,0.0114,65,5000,143,1,143.89,0.764,107,0.973,0.05,20,0,0,-,Belum ditandai,unset,0.3,1,0,
2026-06-17T02:11:22.629,330313,419,0.341733333,0.4978,0.013466667,65,5000,143,1,143.91,0.763,107,0.974,0.05,20,0,0,-,Belum ditandai,unset,0.3,1,0,
2026-06-17T02:11:23.193,330875,430,0.340333333,0.500333333,0.015533333,65,5000,143,1,143.87,0.771,108,0.973,0.05,20,0,0,-,Belum ditandai,unset,0.3,1,0,
2026-06-17T02:11:23.737,331400,446,0.345466667,0.503066667,0.020733333,65,5000,143,1,143.87,0.771,108,0.973,0.05,20,0,0,-,Belum ditandai,unset,0.3,1,0,
2026-06-17T02:11:24.313,331984,434,0.346666667,0.504933333,0.023933333,65,5000,143,1,143.82,0.789,111,0.978,0.05,20,0,0,-,Belum ditandai,unset,0.3,1,0,
2026-06-17T02:11:24.815,332509,435,0.346733333,0.506733333,0.024533333,65,5000,143,1,143.82,0.789,111,0.978,0.05,20,0,0,-,Belum ditandai,unset,0.3,1,0,
2026-06-17T02:11:25.410,333084,422,0.344533333,0.506,0.0224,65,5000,143,1,143.83,0.796,111,0.969,0.05,20,0,0,-,Belum ditandai,unset,0.3,1,0,
2026-06-17T02:11:25.930,333609,418,0.344,0.504933333,0.0206,65,5000,143,1,143.83,0.796,111,0.969,0.05,20,0,0,-,Belum ditandai,unset,0.3,1,0,
2026-06-17T02:11:26.457,334131,430,0.3446,0.5044,0.020466667,65,5000,143,1,143.87,0.794,111,0.971,0.05,20,0,0,-,Belum ditandai,unset,0.3,1,0,
2026-06-17T02:11:26.960,334656,426,0.345533333,0.505133333,0.0204,65,5000,143,1,143.87,0.794,111,0.971,0.05,20,0,0,-,Belum ditandai,unset,0.3,1,0,
2026-06-17T02:11:27.522,335218,435,0.347133333,0.506466667,0.023666667,65,5000,143,1,143.86,0.794,111,0.971,0.05,20,0,0,-,Belum ditandai,unset,0.3,1,0,
2026-06-17T02:11:28.084,335802,431,0.346866667,0.506266667,0.023266667,65,5000,143,1,143.83,0.794,111,0.971,0.05,20,0,0,-,Belum ditandai,unset,0.3,1,0,
2026-06-17T02:11:28.649,336328,427,0.346533333,0.5062,0.0234,65,5000,143,1,143.83,0.794,111,0.971,0.05,20,0,0,-,Belum ditandai,unset,0.3,1,0,
