pc_timestamp,stm32_ms,adc_raw,adc_voltage_v,sensor_voltage_v,pressure_bar,duty_percent,frequency_hz,estimated_output_rms_v,jsy_online,jsy_voltage_rms_v,jsy_current_rms_a,jsy_active_power_w,jsy_power_factor,jsy_energy_kwh,jsy_error_count,nn_mode,nn_duty_percent,valve_open_count,valve_state_label,valve_phase
2026-06-09T22:37:54.067,2361436,412,0.32953333333333334,0.4827333333333333,0.010266666666666667,60.0,5000,132.0,1,9.92,0.034,0,0.0,0.01,705,0,0.0,0,0 keran stabil,stable
2026-06-09T22:37:54.639,2361989,413,0.3312,0.48166666666666663,0.0096,60.0,5000,132.0,1,9.92,0.034,0,0.0,0.01,705,0,0.0,0,0 keran stabil,stable
2026-06-09T22:37:55.141,2362514,401,0.3317333333333333,0.4828,0.011733333333333333,60.0,5000,132.0,1,9.92,0.034,0,0.0,0.01,705,0,0.0,0,0 keran stabil,stable
2026-06-09T22:37:55.656,2363037,410,0.3350666666666667,0.4849333333333333,0.012199999999999999,60.0,5000,132.0,1,9.92,0.034,0,0.0,0.01,705,0,0.0,0,0 keran stabil,stable
2026-06-09T22:37:56.156,2363562,471,0.33940000000000003,0.4858,0.014,60.0,5000,132.0,1,9.92,0.034,0,0.0,0.01,705,0,0.0,0,0 keran stabil,stable
2026-06-09T22:37:56.763,2364124,383,0.33680000000000004,0.48586666666666667,0.012199999999999999,60.0,5000,132.0,1,9.92,0.034,0,0.0,0.01,705,0,0.0,0,0 keran stabil,stable
2026-06-09T22:37:57.264,2364649,408,0.33433333333333337,0.4856666666666667,0.0118,60.0,5000,132.0,1,9.92,0.034,0,0.0,0.01,705,0,0.0,0,0 keran stabil,stable
2026-06-09T22:37:57.824,2365224,413,0.32880000000000004,0.48446666666666666,0.009866666666666666,60.0,5000,132.0,1,9.93,0.034,0,0.0,0.01,705,0,0.0,0,0 keran stabil,stable
2026-06-09T22:37:58.339,2365749,410,0.3314666666666667,0.4861333333333333,0.0116,60.0,5000,132.0,1,9.93,0.034,0,0.0,0.01,705,0,0.0,0,0 keran stabil,stable
2026-06-09T22:37:58.886,2366272,414,0.3316666666666667,0.4862,0.0116,60.0,5000,132.0,1,9.93,0.034,0,0.0,0.01,705,0,0.0,0,0 keran stabil,stable
2026-06-09T22:37:59.431,2366834,413,0.33253333333333335,0.48633333333333334,0.0116,60.0,5000,132.0,1,9.93,0.034,0,0.0,0.01,705,0,0.0,0,0 keran stabil,stable
2026-06-09T22:37:59.978,2367359,422,0.333,0.48473333333333335,0.011066666666666667,60.0,5000,132.0,1,9.93,0.034,0,0.0,0.01,705,0,0.0,0,0 keran stabil,stable
2026-06-09T22:38:00.525,2367934,412,0.3340666666666667,0.48366666666666663,0.011266666666666666,60.0,5000,132.0,1,10.1,0.035,0,0.0,0.01,705,0,0.0,0,0 keran stabil,stable
2026-06-09T22:38:01.026,2368459,423,0.33433333333333337,0.48446666666666666,0.011066666666666666,60.0,5000,132.0,1,10.1,0.035,0,0.0,0.01,705,0,0.0,0,0 keran stabil,stable
2026-06-09T22:38:01.588,2368982,411,0.33380000000000004,0.48546666666666666,0.010066666666666666,60.0,5000,132.0,1,12.7,0.048,0,0.0,0.01,705,0,0.0,0,0 keran stabil,stable
2026-06-09T22:38:02.088,2369507,407,0.33233333333333337,0.48606666666666665,0.0098,60.0,5000,132.0,1,12.7,0.048,0,0.0,0.01,705,0,0.0,0,0 keran stabil,stable
2026-06-09T22:38:02.647,2370060,412,0.3326,0.48686666666666667,0.011266666666666666,60.0,5000,132.0,1,23.63,0.112,2,0.755,0.01,705,0,0.0,0,0 keran stabil,stable
2026-06-09T22:38:03.144,2370585,412,0.3347333333333333,0.4861333333333333,0.011000000000000001,60.0,5000,132.0,1,23.63,0.112,2,0.755,0.01,705,0,0.0,0,0 keran stabil,stable
2026-06-09T22:38:03.708,2371108,414,0.3354666666666667,0.48586666666666667,0.011666666666666665,60.0,5000,132.0,1,26.13,0.126,3,0.911,0.01,705,0,0.0,0,0 keran stabil,stable
2026-06-09T22:38:04.210,2371633,413,0.3312666666666667,0.4836,0.010533333333333334,60.0,5000,132.0,1,26.13,0.126,3,0.911,0.01,705,0,0.0,0,0 keran stabil,stable
2026-06-09T22:38:04.769,2372195,397,0.33,0.4822666666666667,0.0106,60.0,5000,132.0,1,26.16,0.127,3,0.902,0.01,705,0,0.0,0,0 keran stabil,stable
2026-06-09T22:38:05.273,2372720,435,0.3313333333333333,0.4828,0.010266666666666667,60.0,5000,132.0,1,26.16,0.127,3,0.902,0.01,705,0,0.0,0,0 keran stabil,stable
2026-06-09T22:38:05.775,2373190,419,0.33346666666666663,0.4840666666666667,0.0104,60.0,5000,132.0,1,26.17,0.127,3,0.902,0.01,705,0,0.0,0,0 keran stabil,stable
2026-06-09T22:38:06.271,2373715,412,0.3307333333333334,0.48179999999999995,0.0104,60.0,5000,132.0,1,26.17,0.127,3,0.902,0.01,705,0,0.0,0,0 keran stabil,stable
2026-06-09T22:38:06.817,2374238,411,0.3296,0.48046666666666665,0.010466666666666668,60.0,5000,132.0,1,26.16,0.127,3,0.902,0.01,705,0,0.0,0,0 keran stabil,stable
2026-06-09T22:38:07.318,2374763,410,0.3286,0.4782666666666666,0.010066666666666666,60.0,5000,132.0,1,26.16,0.127,3,0.902,0.01,705,0,0.0,0,0 keran stabil,stable
2026-06-09T22:38:07.817,2375220,412,0.32626666666666665,0.48053333333333337,0.010333333333333333,60.0,5000,132.0,1,26.18,0.127,3,0.902,0.01,705,0,0.0,0,0 keran stabil,stable
2026-06-09T22:38:08.317,2375745,410,0.32753333333333334,0.4828666666666666,0.010266666666666667,60.0,5000,132.0,1,26.18,0.127,3,0.902,0.01,705,0,0.0,0,0 keran stabil,stable
2026-06-09T22:38:08.878,2376320,398,0.3282666666666667,0.48513333333333336,0.010466666666666668,60.0,5000,132.0,1,26.17,0.127,3,0.902,0.01,705,0,0.0,0,0 keran stabil,stable
2026-06-09T22:38:09.439,2376845,411,0.33240000000000003,0.4856,0.009866666666666666,60.0,5000,132.0,1,26.17,0.127,3,0.902,0.01,705,0,0.0,0,0 keran stabil,stable
