pc_timestamp,stm32_ms,adc_raw,adc_voltage_v,sensor_voltage_v,pressure_bar,duty_percent,frequency_hz,estimated_output_rms_v,jsy_online,jsy_voltage_rms_v,jsy_current_rms_a,jsy_active_power_w,jsy_power_factor,jsy_energy_kwh,jsy_error_count,nn_mode,nn_duty_percent,valve_open_count,valve_state_label,valve_phase,setpoint_bar,episode_id,is_decision,event
2026-06-16T23:21:04.544,5053646,474,0.3852,0.563,0.189,75,5000,165,1,165.3,0.89,145,0.985,0.04,4823,0,0,-,Belum ditandai,unset,0.25,1,0,
2026-06-16T23:21:05.052,5054176,480,0.387,0.5646,0.193733333,75,5000,165,1,165.3,0.89,145,0.985,0.04,4823,0,0,-,Belum ditandai,unset,0.25,1,0,
2026-06-16T23:21:05.649,5054757,483,0.384133333,0.564333333,0.192666667,75,5000,165,1,165.36,0.89,145,0.985,0.04,4823,0,0,-,Belum ditandai,unset,0.25,1,0,
2026-06-16T23:21:06.226,5055337,484,0.384533333,0.564333333,0.193,75,5000,165,1,165.37,0.889,145,0.986,0.04,4823,0,0,-,Belum ditandai,unset,0.25,1,0,
2026-06-16T23:21:06.726,5055867,487,0.385866667,0.564466667,0.1936,75,5000,165,1,165.37,0.889,145,0.986,0.04,4823,0,0,-,Belum ditandai,unset,0.25,1,0,
2026-06-16T23:21:07.225,5056342,486,0.384933333,0.565,0.1956,75,5000,165,1,165.36,0.889,145,0.986,0.04,4823,0,0,-,Belum ditandai,unset,0.25,1,0,
2026-06-16T23:21:07.725,5056872,483,0.3856,0.565333333,0.196333333,75,5000,165,1,165.36,0.889,145,0.986,0.04,4823,0,0,-,Belum ditandai,unset,0.25,1,0,
2026-06-16T23:21:08.330,5057452,478,0.382466667,0.5644,0.193266667,75,5000,165,1,165.39,0.889,145,0.986,0.04,4823,0,0,-,Belum ditandai,unset,0.25,1,0,
2026-06-16T23:21:08.879,5057982,504,0.383466667,0.564333333,0.1928,75,5000,165,1,165.39,0.889,145,0.986,0.04,4823,0,0,-,Belum ditandai,unset,0.25,1,0,
2026-06-16T23:21:09.425,5058563,493,0.386466667,0.564333333,0.193266667,75,5000,165,1,165.37,0.889,145,0.986,0.04,4823,0,0,-,Belum ditandai,unset,0.25,1,0,
2026-06-16T23:21:09.947,5059093,460,0.385666667,0.5646,0.194333333,75,5000,165,1,165.37,0.889,145,0.986,0.04,4823,0,0,-,Belum ditandai,unset,0.25,1,0,
2026-06-16T23:21:10.510,5059674,467,0.386666667,0.5634,0.190466667,75,5000,165,1,165.39,0.888,145,0.987,0.04,4823,0,0,-,Belum ditandai,unset,0.25,1,0,
2026-06-16T23:21:11.077,5060204,475,0.385333333,0.563066667,0.1888,75,5000,165,1,165.39,0.888,145,0.987,0.04,4823,0,0,-,Belum ditandai,unset,0.25,1,0,
2026-06-16T23:21:11.644,5060784,483,0.385266667,0.562733333,0.187666667,75,5000,165,1,165.37,0.888,145,0.987,0.04,4823,0,0,-,Belum ditandai,unset,0.25,1,0,
2026-06-16T23:21:12.202,5061365,472,0.385666667,0.562466667,0.1872,75,5000,165,1,165.37,0.888,145,0.987,0.04,4823,0,0,-,Belum ditandai,unset,0.25,1,0,
2026-06-16T23:21:12.768,5061895,468,0.385666667,0.562666667,0.188066667,75,5000,165,1,165.37,0.888,145,0.987,0.04,4823,0,0,-,Belum ditandai,unset,0.25,1,0,
2026-06-16T23:21:13.330,5062476,473,0.3878,0.562466667,0.1876,75,5000,165,1,165.36,0.889,145,0.986,0.04,4823,0,0,-,Belum ditandai,unset,0.25,1,0,
2026-06-16T23:21:13.832,5063006,461,0.386133333,0.562133333,0.1884,75,5000,165,1,165.36,0.889,145,0.986,0.04,4823,0,0,-,Belum ditandai,unset,0.25,1,0,
