pc_timestamp,stm32_ms,adc_raw,adc_voltage_v,sensor_voltage_v,pressure_bar,duty_percent,frequency_hz,estimated_output_rms_v,jsy_online,jsy_voltage_rms_v,jsy_current_rms_a,jsy_voltage_raw_v,jsy_current_raw_a,jsy_active_power_w,jsy_power_factor,jsy_energy_kwh,jsy_error_count,nn_mode,nn_duty_percent,valve_open_count,valve_state_label,valve_phase,setpoint_bar,episode_id,is_decision,event
2026-07-02T19:24:13.726,162327,8,0.0084,0.008,0.0,50.0,5000,110.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,161,0,0.0,2,2 keran stabil,stable,0.3,1,0,
2026-07-02T19:24:14.257,162847,11,0.0054666666666666665,0.0078,0.0,50.0,5000,110.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,161,0,0.0,2,2 keran stabil,stable,0.3,1,0,
2026-07-02T19:24:14.790,163437,4,0.0057333333333333325,0.0082,0.0,50.0,5000,110.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,162,0,0.0,2,2 keran stabil,stable,0.3,1,0,
2026-07-02T19:24:15.357,163957,5,0.006666666666666667,0.0082,0.0,50.0,5000,110.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,162,0,0.0,2,2 keran stabil,stable,0.3,1,0,
2026-07-02T19:24:15.920,164547,8,0.007,0.008,0.0,50.0,5000,110.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,163,0,0.0,2,2 keran stabil,stable,0.3,1,0,
2026-07-02T19:24:16.609,165241,16,0.0072,0.007466666666666667,0.0,50.0,5000,110.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,164,0,0.0,2,2 keran stabil,stable,0.3,1,0,
2026-07-02T19:24:17.112,165761,1,0.0052,0.008666666666666666,0.0,50.0,5000,110.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,164,0,0.0,2,2 keran stabil,stable,0.3,1,0,
2026-07-02T19:24:17.615,166247,6,0.0048,0.0084,0.0,50.0,5000,110.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,165,0,0.0,2,2 keran stabil,stable,0.3,1,0,
2026-07-02T19:24:18.113,166767,4,0.004600000000000001,0.008533333333333334,0.0,50.0,5000,110.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,165,0,0.0,2,2 keran stabil,stable,0.3,1,0,
2026-07-02T19:24:18.615,167253,5,0.0038,0.007866666666666666,0.0,50.0,5000,110.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,166,0,0.0,2,2 keran stabil,stable,0.3,1,0,
