Record Length,700
Source,CH1
No.,Volt
654,-4.000000
655,-4.000000
656,-4.000000
657,-4.000000
658,-4.000000
659,-12.000000
660,-4.000000
661,-76.000000
662,-180.000000
663,-244.000000
664,-292.000000
665,-308.000000
666,-316.000000
667,-308.000000
668,-260.000000
669,-180.000000
670,-92.000000
671,-4.000000
672,-4.000000
673,-4.000000
674,-4.000000
675,-12.000000
676,-4.000000
677,-4.000000
678,-4.000000
679,-4.000000
680,-4.000000
681,-84.000000
682,-180.000000
683,-252.000000
684,-292.000000
685,-308.000000
686,-316.000000
687,-308.000000
688,-260.000000
689,-180.000000
690,-92.000000
691,-4.000000
692,-4.000000
693,-4.000000
694,-4.000000
695,-4.000000
696,-4.000000
697,-4.000000
698,-4.000000
699,-12.000000
700,-12.000000
