pc_timestamp,stm32_ms,adc_raw,adc_voltage_v,sensor_voltage_v,pressure_bar,duty_percent,frequency_hz,estimated_output_rms_v,jsy_online,jsy_voltage_rms_v,jsy_current_rms_a,jsy_active_power_w,jsy_power_factor,jsy_energy_kwh,jsy_error_count,nn_mode,nn_duty_percent,valve_open_count,valve_state_label,valve_phase,setpoint_bar,episode_id,is_decision
2026-06-15T04:36:56.182,204588,457,0.339066667,0.494,0.135133333,75,5000,165,1,165.05,0.733,119,0.983,0.02,147,0,0,4,4 keran stabil,stable,0.25,1,0
2026-06-15T04:36:56.698,205113,432,0.329,0.488266667,0.125933333,75,5000,165,1,165.05,0.733,119,0.983,0.02,147,0,0,4,4 keran stabil,stable,0.25,1,0
2026-06-15T04:36:57.244,205688,460,0.312666667,0.488333333,0.125933333,75,5000,165,1,165.02,0.733,119,0.983,0.02,147,0,0,4,4 keran stabil,stable,0.25,1,0
2026-06-15T04:36:57.776,206213,467,0.3018,0.4764,0.118666667,75,5000,165,1,165.02,0.733,119,0.983,0.02,147,0,0,4,4 keran stabil,stable,0.25,1,0
2026-06-15T04:36:58.339,206735,468,0.2916,0.474733333,0.117933333,75,5000,165,1,165.06,0.734,119,0.982,0.02,147,0,0,4,4 keran stabil,stable,0.25,1,0
2026-06-15T04:36:58.841,207260,453,0.306266667,0.4784,0.121866667,75,5000,165,1,165.06,0.734,119,0.982,0.02,147,0,0,4,4 keran stabil,stable,0.25,1,0
2026-06-15T04:36:59.401,207822,465,0.3144,0.485266667,0.128466667,75,5000,165,1,165.05,0.732,119,0.984,0.02,147,0,0,4,4 keran stabil,stable,0.25,1,0
2026-06-15T04:36:59.965,208396,197,0.333533333,0.4974,0.1474,75,5000,165,1,165.08,0.731,119,0.986,0.02,147,0,0,4,4 keran stabil,stable,0.25,1,0
2026-06-15T04:37:00.587,209027,457,0.3334,0.480666667,0.127466667,75,5000,165,1,165.08,0.731,119,0.986,0.02,147,0,0,4,4 keran stabil,stable,0.25,1,0
2026-06-15T04:37:01.136,209550,448,0.335866667,0.481266667,0.128533333,75,5000,165,1,165.06,0.731,119,0.986,0.02,147,0,0,4,4 keran stabil,stable,0.25,1,0
2026-06-15T04:37:01.664,210075,250,0.341066667,0.485533333,0.127466667,75,5000,165,1,165.06,0.731,119,0.986,0.02,147,0,0,4,4 keran stabil,stable,0.25,1,0
2026-06-15T04:37:02.228,210637,204,0.340133333,0.4834,0.125266667,75,5000,165,1,165.07,0.731,119,0.986,0.02,147,0,0,4,4 keran stabil,stable,0.25,1,0
2026-06-15T04:37:02.822,211267,469,0.320266667,0.475266667,0.1138,75,5000,165,1,165.07,0.731,119,0.986,0.02,147,0,0,4,4 keran stabil,stable,0.25,1,0
2026-06-15T04:37:03.323,211746,205,0.302666667,0.470133333,0.1112,75,5000,165,1,165.07,0.73,119,0.987,0.02,147,0,0,4,4 keran stabil,stable,0.25,1,0
2026-06-15T04:37:03.826,212271,459,0.303933333,0.472,0.111666667,75,5000,165,1,165.07,0.73,119,0.987,0.02,147,0,0,4,4 keran stabil,stable,0.25,1,0
2026-06-15T04:37:04.327,212741,459,0.313266667,0.4702,0.112333333,75,5000,165,1,165.11,0.728,118,0.981,0.02,147,0,0,4,4 keran stabil,stable,0.25,1,0
2026-06-15T04:37:04.485,212846,199,0.3126,0.4674,0.1114,75,5000,165,1,165.11,0.728,118,0.981,0.02,147,0,0,4,4 keran stabil,stable,0.25,1,1
2026-06-15T04:37:04.831,213266,458,0.310333333,0.474666667,0.113133333,78,5000,171.6,1,165.11,0.728,118,0.981,0.02,147,0,0,4,4 keran stabil,stable,0.25,1,0
