pc_timestamp,stm32_ms,adc_raw,adc_voltage_v,sensor_voltage_v,pressure_bar,duty_percent,frequency_hz,estimated_output_rms_v,jsy_online,jsy_voltage_rms_v,jsy_current_rms_a,jsy_active_power_w,jsy_power_factor,jsy_energy_kwh,jsy_error_count,nn_mode,nn_duty_percent,valve_open_count,valve_state_label,valve_phase,setpoint_bar,episode_id,is_decision
2026-06-15T01:22:28.866,1669122,616,0.4882,0.715133333,0.6454,80,5000,176,1,173.75,0.956,165,0.993,0.01,1221,0,0,0,0 keran stabil,stable,0.3,1,0
2026-06-15T01:22:29.436,1669703,604,0.485133333,0.712666667,0.638,80,5000,176,1,173.75,0.955,164,0.988,0.01,1221,0,0,0,0 keran stabil,stable,0.3,1,0
2026-06-15T01:22:29.944,1670233,604,0.4834,0.7116,0.635333333,80,5000,176,1,173.75,0.955,164,0.988,0.01,1221,0,0,0,0 keran stabil,stable,0.3,1,0
2026-06-15T01:22:30.542,1670814,553,0.4834,0.713466667,0.641266667,80,5000,176,1,173.76,0.955,164,0.988,0.01,1221,0,0,0,0 keran stabil,stable,0.3,1,0
2026-06-15T01:22:31.084,1671344,595,0.483133333,0.713933333,0.642866667,80,5000,176,1,173.76,0.955,164,0.988,0.01,1221,0,0,0,0 keran stabil,stable,0.3,1,0
2026-06-15T01:22:31.636,1671926,604,0.4842,0.714733333,0.645066667,80,5000,176,1,173.77,0.954,164,0.989,0.01,1221,0,0,0,0 keran stabil,stable,0.3,1,0
2026-06-15T01:22:32.175,1672456,607,0.486,0.7146,0.644266667,80,5000,176,1,173.77,0.954,164,0.989,0.01,1221,0,0,0,0 keran stabil,stable,0.3,1,0
2026-06-15T01:22:32.675,1672935,630,0.488466667,0.715466667,0.646733333,80,5000,176,1,173.79,0.954,164,0.989,0.01,1221,0,0,0,0 keran stabil,stable,0.3,1,0
2026-06-15T01:22:33.174,1673465,606,0.483866667,0.713933333,0.641866667,80,5000,176,1,173.79,0.954,164,0.989,0.01,1221,0,0,0,0 keran stabil,stable,0.3,1,0
2026-06-15T01:22:33.675,1673945,597,0.4826,0.7136,0.641266667,80,5000,176,1,173.82,0.953,164,0.99,0.01,1221,0,0,0,0 keran stabil,stable,0.3,1,0
2026-06-15T01:22:34.175,1674475,609,0.4822,0.712733333,0.6388,80,5000,176,1,173.82,0.953,164,0.99,0.01,1221,0,0,0,0 keran stabil,stable,0.3,1,0
2026-06-15T01:22:34.673,1674950,608,0.483866667,0.713733333,0.641933333,80,5000,176,1,173.82,0.952,164,0.991,0.01,1221,0,0,0,0 keran stabil,stable,0.3,1,0
2026-06-15T01:22:34.953,1675162,618,0.485333333,0.713733333,0.6418,80,5000,176,1,173.82,0.952,164,0.991,0.01,1221,0,0,0,0 keran stabil,stable,0.3,1,1
2026-06-15T01:22:35.173,1675480,597,0.486333333,0.7156,0.647,77,5000,169.4,1,173.82,0.952,164,0.991,0.01,1221,0,0,0,0 keran stabil,stable,0.3,1,0
2026-06-15T01:22:35.672,1675955,601,0.486333333,0.716733333,0.650466667,77,5000,169.4,1,173.69,0.95,164,0.993,0.01,1221,0,0,0,0 keran stabil,stable,0.3,1,0
2026-06-15T01:22:36.172,1676485,604,0.487666667,0.7174,0.6526,77,5000,169.4,1,173.69,0.95,164,0.993,0.01,1221,0,0,0,0 keran stabil,stable,0.3,1,0
2026-06-15T01:22:36.672,1676961,600,0.4882,0.7178,0.654,77,5000,169.4,1,167.65,0.925,153,0.986,0.01,1221,0,0,0,0 keran stabil,stable,0.3,1,0
