pc_timestamp,stm32_ms,adc_raw,adc_voltage_v,sensor_voltage_v,pressure_bar,duty_percent,frequency_hz,estimated_output_rms_v,jsy_online,jsy_voltage_rms_v,jsy_current_rms_a,jsy_active_power_w,jsy_power_factor,jsy_energy_kwh,jsy_error_count,nn_mode,nn_duty_percent,valve_open_count,valve_state_label,valve_phase,setpoint_bar,episode_id,is_decision
2026-06-14T22:46:40.873,2553515,551,0.448133333,0.6558,0.467933333,90,5000,198,1,197.11,0.81,159,0.995,0.01,2160,0,0,2,2 keran stabil,stable,0.3,1,0
2026-06-14T22:46:41.494,2554096,550,0.447466667,0.655,0.465533333,90,5000,198,1,197.11,0.811,159,0.994,0.01,2160,0,0,2,2 keran stabil,stable,0.3,1,0
2026-06-14T22:46:42.103,2554732,565,0.4486,0.654333333,0.463466667,90,5000,198,1,197.11,0.811,159,0.994,0.01,2160,0,0,2,2 keran stabil,stable,0.3,1,0
2026-06-14T22:46:42.603,2555207,490,0.444533333,0.6534,0.460733333,90,5000,198,1,197.05,0.812,159,0.993,0.01,2160,0,0,2,2 keran stabil,stable,0.3,1,0
2026-06-14T22:46:43.095,2555737,556,0.4468,0.656133333,0.468866667,90,5000,198,1,197.05,0.812,159,0.993,0.01,2160,0,0,2,2 keran stabil,stable,0.3,1,0
2026-06-14T22:46:43.679,2556318,561,0.446866667,0.6564,0.4696,90,5000,198,1,197.07,0.812,159,0.993,0.01,2160,0,0,2,2 keran stabil,stable,0.3,1,0
2026-06-14T22:46:44.288,2556899,558,0.450933333,0.656533333,0.469533333,90,5000,198,1,197.07,0.811,159,0.994,0.01,2160,0,0,2,2 keran stabil,stable,0.3,1,0
2026-06-14T22:46:44.881,2557535,562,0.451466667,0.654,0.462,90,5000,198,1,197.07,0.811,159,0.994,0.01,2160,0,0,2,2 keran stabil,stable,0.3,1,0
2026-06-14T22:46:45.475,2558116,555,0.450266667,0.653466667,0.460533333,90,5000,198,1,197.07,0.811,159,0.994,0.01,2160,0,0,2,2 keran stabil,stable,0.3,1,0
2026-06-14T22:46:46.037,2558646,553,0.449533333,0.653933333,0.462666667,90,5000,198,1,197.07,0.811,159,0.994,0.01,2160,0,0,2,2 keran stabil,stable,0.3,1,0
2026-06-14T22:46:46.599,2559227,552,0.445933333,0.6526,0.458533333,90,5000,198,1,197.03,0.811,159,0.995,0.01,2160,0,0,2,2 keran stabil,stable,0.3,1,0
2026-06-14T22:46:47.098,2559757,553,0.447333333,0.653333333,0.460666667,90,5000,198,1,197.03,0.811,159,0.995,0.01,2160,0,0,2,2 keran stabil,stable,0.3,1,0
2026-06-14T22:46:47.596,2560232,548,0.447133333,0.652666667,0.457666667,90,5000,198,1,197.01,0.812,159,0.993,0.01,2160,0,0,2,2 keran stabil,stable,0.3,1,0
2026-06-14T22:46:48.096,2560762,563,0.448066667,0.653,0.458533333,90,5000,198,1,197.01,0.812,159,0.993,0.01,2160,0,0,2,2 keran stabil,stable,0.3,1,0
2026-06-14T22:46:48.596,2561237,555,0.449666667,0.6534,0.4596,90,5000,198,1,197.03,0.813,159,0.992,0.01,2160,0,0,2,2 keran stabil,stable,0.3,1,0
2026-06-14T22:46:49.095,2561767,553,0.449933333,0.6544,0.462933333,90,5000,198,1,197.03,0.813,159,0.992,0.01,2160,0,0,2,2 keran stabil,stable,0.3,1,0
2026-06-14T22:46:49.594,2562242,548,0.4504,0.654466667,0.4626,90,5000,198,1,197.07,0.813,159,0.992,0.01,2160,0,0,2,2 keran stabil,stable,0.3,1,0
2026-06-14T22:46:50.092,2562772,548,0.446533333,0.654733333,0.462933333,90,5000,198,1,197.07,0.813,159,0.992,0.01,2160,0,0,2,2 keran stabil,stable,0.3,1,0
2026-06-14T22:46:50.701,2563353,553,0.4458,0.6548,0.463066667,90,5000,198,1,197.03,0.812,159,0.993,0.01,2160,0,0,2,2 keran stabil,stable,0.3,1,0
2026-06-14T22:46:51.275,2563934,560,0.445866667,0.655333333,0.465066667,90,5000,198,1,197.04,0.812,159,0.993,0.01,2160,0,0,2,2 keran stabil,stable,0.3,1,0
2026-06-14T22:46:51.811,2564464,553,0.447,0.655,0.464266667,90,5000,198,1,197.04,0.812,159,0.993,0.01,2160,0,0,2,2 keran stabil,stable,0.3,1,0
2026-06-14T22:46:52.374,2565045,558,0.45,0.655,0.4642,90,5000,198,1,197.09,0.814,160,0.997,0.01,2160,0,0,2,2 keran stabil,stable,0.3,1,0
2026-06-14T22:46:52.934,2565575,549,0.449133333,0.654066667,0.461666667,90,5000,198,1,197.09,0.814,160,0.997,0.01,2160,0,0,2,2 keran stabil,stable,0.3,1,0
2026-06-14T22:46:53.496,2566156,543,0.446933333,0.652466667,0.456933333,90,5000,198,1,197.08,0.814,160,0.997,0.01,2160,0,0,2,2 keran stabil,stable,0.3,1,0
2026-06-14T22:46:53.995,2566686,564,0.443466667,0.6508,0.4522,90,5000,198,1,197.08,0.814,160,0.997,0.01,2160,0,0,2,2 keran stabil,stable,0.3,1,0
