arsitektur,param,R2_CV,R2_CV_std,R2_test
3-2-1,11,0.8816852085694746,0.05201271517979406,0.9166622869964719
3-3-1,16,0.8842917282361297,0.05222340592528789,0.9152735130516878
3-4-1,21,0.8943148967125056,0.037566236173529215,0.9253163126310618
3-6-1,31,0.9013992922136381,0.05406938171061139,0.9231110853066172
3-8-1,41,0.9082713061954744,0.0391066319853024,0.8731350872005039
3-4-4-1,41,0.9109421099059363,0.04026563409563578,0.9006131797950536
